,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,10.31,0,19.43,4.63,0,10.94,17.02,6.33,3.20,0
Price/Earnings Average,10.20,-685.82,18.10,4.22,-36.72,13.98,17.68,5.75,3.16,-21.19
Price/Earnings High,11.08,-766.66,20.89,5.18,-41.14,18.20,19.97,7.65,3.89,-29.68
Price/Earnings Low,9.17,-595.09,15.49,3.36,-30.90,10.08,13.10,3.26,2.42,-15.79
Price/Book Value,1.56,1.56,4.26,2.16,2.78,1.57,1.62,1.51,1.10,0.65
Price/Book Value Average,1.54,1.46,3.97,1.97,2.59,2.01,1.68,1.37,1.09,0.76
Price/Book Value High,1.68,1.63,4.58,2.41,2.90,2.61,1.90,1.82,1.34,1.06
Price/Book Value Low,1.39,1.26,3.39,1.56,2.18,1.45,1.25,0.78,0.83,0.56
Price/Tangible Book Value,2.19,2.88,16.15,5.44,12.06,25.11,-12.48,-30.71,7.09,25.09
Price/Tangible Book Value Average,2.17,2.68,15.04,4.96,11.20,32.10,-12.96,-27.88,7.01,29.15
Price/Tangible Book Value High,2.35,3.00,17.36,6.08,12.55,41.78,-14.64,-37.09,8.62,40.83
Price/Tangible Book Value Low,1.95,2.33,12.87,3.94,9.43,23.13,-9.61,-15.81,5.36,21.73
Price/Sales,1.83,1.68,3.90,3.75,4.20,2.58,2.90,3.49,4.18,2.36
Price/Sales Average,1.82,1.57,3.63,3.42,3.90,3.29,3.01,3.17,4.13,2.74
Price/Sales High,1.97,1.76,4.19,4.19,4.37,4.29,3.40,4.22,5.08,3.84
Price/Sales Low,1.63,1.36,3.11,2.72,3.28,2.37,2.23,1.80,3.16,2.05
Price/Cash Flow,5.89,5.31,8.31,11.90,12.76,10.41,9.76,14.84,16.39,10.27
Price/Cash Flow Average,5.83,4.95,7.74,10.85,11.86,13.31,10.14,13.47,16.21,11.93
Price/Cash Flow High,6.33,5.54,8.93,13.31,13.28,17.33,11.45,17.92,19.92,16.71
Price/Cash Flow Low,5.24,4.30,6.62,8.63,9.98,9.59,7.51,7.64,12.38,8.89
Price/Free Cash Flow,4.78,4.34,7.20,9.84,10.53,8.46,8.36,12.46,14.28,8.56
Price/Free Cash Flow Average,4.73,4.05,6.71,8.97,9.79,10.81,8.68,11.31,14.12,9.95
Price/Free Cash Flow High,5.14,4.52,7.74,11.00,10.96,14.07,9.81,15.05,17.36,13.93
Price/Free Cash Flow Low,4.25,3.51,5.74,7.13,8.24,7.79,6.44,6.41,10.79,7.42
EV/Sales,1.53,1.51,3.90,3.80,4.49,2.81,3.24,3.79,3.99,2.47
EV/Sales Average,1.79,1.61,4.14,4.07,4.60,3.73,3.52,3.71,4.52,3.38
EV/Sales High,1.95,1.79,4.69,4.81,5.05,4.66,3.89,4.72,5.39,4.44
EV/Sales Low,1.61,1.41,3.62,3.40,4.00,2.87,2.79,2.39,3.63,2.71
EV/EBITDA,5.14,5.40,11.62,11.33,14.62,10.33,11.45,11.71,12.15,8.66
EV/EBITDA Average,6.02,5.76,12.33,12.16,14.95,13.73,12.44,11.48,13.76,11.86
EV/EBITDA High,6.55,6.41,13.96,14.37,16.43,17.14,13.73,14.60,16.39,15.58
EV/EBITDA Low,5.41,5.03,10.79,10.16,13.01,10.56,9.86,7.38,11.06,9.49
EV/EBIT,7.27,7.69,15.25,14.66,18.98,13.57,14.82,14.35,14.24,10.29
EV/EBIT Average,8.53,8.20,16.18,15.73,19.41,18.03,16.11,14.06,16.12,14.09
EV/EBIT High,9.27,9.12,18.33,18.59,21.33,22.51,17.78,17.88,19.20,18.52
EV/EBIT Low,7.65,7.16,14.17,13.13,16.89,13.87,12.76,9.04,12.96,11.27
Last Price,22.73,24.08,27.75,29.69,37.74,28.24,35.80,50.55,66.78,41.47
High Price,24.43,25.13,29.83,33.19,39.28,46.99,42.00,61.06,81.19,67.49
Low Price,20.23,19.50,22.11,21.52,29.51,26.01,27.56,26.02,50.45,35.92
Enterprise Value,24513,27006,33504,34084,42986,30156,33952,38893,41626,24170
Enterprise Value Average,28743,28811,35548,36566,43974,40055,36906,38109,47131,33107
Enterprise Value High,31238,32054,40266,43222,48314,50025,40736,48480,56130,43512
Enterprise Value Low,25803,25171,31129,30536,38261,30828,29244,24513,37870,26496
