,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.53,5.50,5.40,5.56,5.63,5.60,4.98,5.06,5.36,5.48
Days Sales Outstanding,66.00,66.39,67.60,65.65,64.83,65.15,73.29,72.07,68.11,66.59
Inventory Turnover,6.01,5.51,5.06,5.10,5.86,5.77,5.36,5.84,5.48,5.38
Days Inventory Outstanding,60.75,66.28,72.13,71.63,62.31,63.31,68.07,62.55,66.55,67.88
Accounts Payable Turnover,7.86,7.16,6.46,6.72,7.62,7.17,5.65,6.36,6.15,5.87
Accounts Payable Turnover Days,46.43,50.95,56.50,54.32,47.93,50.88,64.64,57.40,59.37,62.20
Cash Conversion Cycle,80.32,81.72,83.23,82.96,79.21,77.59,76.72,77.22,75.29,72.26
Inventory to Cash Days,5.25,0.11,-4.54,-5.98,2.53,1.84,5.22,9.52,1.57,-1.29
Inventories,1322,1467,1388,1319,1446,1546,1082,1285,1492,1793
Raw Materials,391,447,441,408,439,526,438,511,596,849
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,953,1044,930,860,974,1017,669,790,1011,1123
Other Inventory,0,0,0,0,0,0,0,0,0,0
