,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,12426,12991,14274,15828,16606,20711,22539,25079,25362,24415
ST Debt,1936,1360,2268,1093,1875,3216,3203,3933,2041,3792
LT Debt,10490,11631,12006,14735,14731,17495,19336,21146,23321,20623
Total Debt/EBITDA,3.80,4.02,4.01,4.29,4.20,5.22,5.17,5.48,5.22,5.22
Net Debt/EBITDA,3.60,3.80,3.75,4.08,4.00,4.99,4.74,5.02,4.85,4.82
Total Debt/EBIT,5.54,6.00,5.88,6.41,6.36,8.18,8.42,9.45,8.97,9.30
Net Debt/EBIT,5.24,5.68,5.49,6.09,6.06,7.82,7.73,8.65,8.33,8.60
EBITDA to Interest Expense,4.55,5.47,5.45,5.30,5.42,4.85,4.40,4.49,5.29,4.92
EBITDA-CapEx/Interest Expense,1.02,1.38,0.77,0.01,0.70,0.58,0.88,0.65,0.98,0.54
EBIT to Interest Expense,3.12,3.66,3.72,3.55,3.58,3.09,2.70,2.60,3.08,2.76
Interest Expense,719,591,653,696,729,819,991,1019,919,951
Common Equity/Total Assets,20.59,19.69,20.06,19.88,21.34,19.96,19.17,17.83,18.19,17.41
Long-Term Debt/Equity (%),85.67,92.42,91.92,103.00,95.50,103.90,106.17,110.92,114.68,98.73
Long-Term Debt/Capital (%),50.44,53.54,51.22,57.95,54.80,55.39,57.10,57.92,62.79,56.29
Long-Term Debt/Total Assets (%),25.81,26.25,26.30,30.54,30.62,32.45,33.29,33.62,36.95,29.86
Total Debt/Equity (%),101.48,103.23,109.29,110.64,107.66,122.99,123.75,131.54,124.71,116.88
Total Debt/Capital (%),59.75,59.80,60.90,62.25,61.77,65.57,66.56,68.69,68.28,66.64
Total Debt/Total Assets (%),30.57,29.32,31.27,32.80,34.52,38.41,38.81,39.87,40.18,35.35
Net Debt to Equity,95.97,97.67,102.06,105.21,102.49,117.68,113.57,120.36,115.76,107.97
Net Debt/Capital (%),58.40,58.47,59.26,61.06,60.61,64.57,62.90,65.12,65.12,63.79
EBITDA,3268,3235,3557,3687,3950,3971,4360,4574,4858,4680
EBITDA-CapEx,730,816,503,7,507,474,874,665,905,512
Operating Income (Loss),2244,2164,2427,2471,2609,2533,2676,2654,2826,2624
