,2019,2020,2021,2022
Total Debt,106,331,1038,1290
ST Debt,3,326,86,91
LT Debt,103,5,952,1199
Total Debt/EBITDA,0.88,1.62,4.18,2.53
Net Debt/EBITDA,-1.22,-1.71,3.70,1.60
Total Debt/EBIT,1.00,1.77,4.81,2.86
Net Debt/EBIT,-1.38,-1.87,4.25,1.81
EBITDA to Interest Expense,12.33,9.70,5.50,53.98
EBITDA-CapEx/Interest Expense,10.80,8.72,4.34,49.05
EBIT to Interest Expense,10.87,8.88,4.78,47.75
Interest Expense,10,21,45,9
Common Equity/Total Assets,-25.96,-4.27,-19.51,0.56
Long-Term Debt/Equity (%),37.71,1.01,221.21,145.29
Long-Term Debt/Capital (%),-128.91,1.75,150.59,91.72
Long-Term Debt/Total Assets (%),14.39,0.41,45.77,38.89
Total Debt/Equity (%),38.77,68.36,241.22,156.30
Total Debt/Capital (%),-132.53,118.30,164.21,98.67
Total Debt/Total Assets (%),14.80,27.57,49.90,41.84
Net Debt to Equity,-53.59,-72.01,213.48,98.98
Net Debt/Capital (%),44.06,87.19,179.15,97.92
EBITDA,119,204,248,509
EBITDA-CapEx,105,183,196,463
Operating Income (Loss),105,186,216,451
