,2019,2020,2021,2022
Shares Outstanding,123,129,134,136
Diluted Weighted Avg Shares,132,142,143,144
Basic Weighted Avg Shares,117,126,134,135
Revenue per Share,5.35,6.17,10.31,17.22
EBITDA per Share,1.02,1.62,1.85,3.76
Operating Income per Share,0.90,1.48,1.61,3.33
"Basic EPS, GAAP",1.38,1.07,1.09,2.94
Basic EPS from Cont Ops,1.38,1.07,1.09,2.94
"Diluted EPS, GAAP",1.22,0.94,1.02,2.75
Diluted EPS from Cont Ops,1.22,0.94,1.02,2.75
Dividend per Share,0,0,0,0
Cash Flow per Share,1.19,1.72,2.63,5.50
Free Cash Flow per Basic Share,1.06,1.56,2.23,5.16
Cash & Equivalents per Share,2.04,5.27,7.59,11.82
Book Value per Share,-1.50,-0.40,-3.03,0.13
Tangible Book Value per Share,1.76,3.34,1.13,3.76
