,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,14.01,8.87,15.39
Return on Capital (%),0,0,0,41.83
Return on Invested Capital (%),0,0,0,21.86
Gross Margin (%),35.44,44.68,40.12,41.81
EBITDA Margin (%),19.13,26.30,17.96,21.86
Operating Margin (%),16.87,24.07,15.62,19.33
Incremental Operating Margin (%),0,54.04,4.84,24.75
Pretax Margin (%),14.43,15.42,8.75,19.39
Profit Margin (%),25.81,17.30,10.52,17.05
Net Income to Common Margin (%),25.81,17.30,10.52,17.05
Effective Tax Rate (%),0,0,0,12.10
Dvd Payout Ratio (%),0,0,0,0
Sustainable Growth Rate (%),0,0,0,0
