,2019,2020,2021,2022
Accounts Receivable Turnover,0,4.73,5.36,6.02
Days Sales Outstanding,0,77.20,68.11,60.64
Inventory Turnover,0,11.61,14.25,12.10
Days Inventory Outstanding,0,31.44,25.62,30.16
Accounts Payable Turnover,0,6.74,9.23,11.99
Accounts Payable Turnover Days,0,54.18,39.54,30.45
Cash Conversion Cycle,0,54.46,54.19,60.35
Inventory to Cash Days,0,45.75,42.50,30.49
Inventories,32,42,74,150
Raw Materials,4,10,25,35
Work In Process,0,0,0,0
Finished Goods,28,32,49,115
Other Inventory,0,0,0,0
