,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,6.37,6.64,6.11,6.19,6.23,6.54,5.77,5.33,5.92,5.67
Days Sales Outstanding,57.31,54.98,59.71,58.93,58.59,55.78,63.28,68.54,61.67,64.36
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,77.86,122.13,157.10,254.69,209.71,182.35,194.85,192.29,141.78,118.02
Accounts Payable Turnover Days,4.69,2.99,2.32,1.43,1.74,2.00,1.87,1.90,2.57,3.09
Cash Conversion Cycle,52.63,51.99,57.39,57.49,56.85,53.78,61.41,66.64,59.10,61.27
Inventory to Cash Days,57.31,54.98,59.71,58.93,58.59,55.78,63.28,68.54,61.67,64.36
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
