,2019,2020,2021,2022
Total Current Assets,2873,2641,2957,3305
"+ Cash, Cash Equivalents & STI",1880,1609,1536,1906
+ Cash & Cash Equivalents,1870,1605,1536,1906
+ ST Investments,10,5,0,0
+ Accounts & Notes Receiv,689,677,682,855
"+ Accounts Receivable, Net",689,677,682,855
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,304,355,739,543
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,21093,24398,24962,27005
"+ Property, Plant & Equip, Net",7693,8802,8471,8745
"+ Property, Plant & Equip",13628,15978,16728,18077
- Accumulated Depreciation,5935,7176,8257,9333
+ LT Investments & Receivables,60,163,245,348
+ LT Investments,60,163,245,348
+ LT Receivables,0,0,0,0
+ Other LT Assets,13340,15433,16245,17913
+ Total Intangible Assets,6884,7643,7307,7552
+ Goodwill,4782,5473,5372,5654
+ Other Intangible Assets,2102,2171,1935,1898
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,6456,7789,8938,10361
Total Assets,23966,27039,27919,30311
+ Payables & Accruals,1062,1178,1066,1286
+ Accounts Payable,761,877,879,1005
+ Accrued Taxes,135,154,117,131
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,166,147,70,150
+ ST Debt,942,524,325,301
+ ST Borrowings,721,232,33,10
+ ST Finance Leases,221,292,292,291
+ Other ST Liabilities,154,354,215,251
+ Deferred Revenue,93,118,126,148
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,61,236,88,103
Total Current Liabilities,2158,2057,1606,1838
+ LT Debt,12346,13399,14668,16169
+ LT Borrowings,9599,10306,11571,12752
+ LT Finance Leases,2747,3093,3097,3417
+ Other LT Liabilities,622,949,763,798
+ Accrued Liabilities,303,363,429,544
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,319,586,334,254
Total Noncurrent Liabilities,12967,14348,15431,16967
Total Liabilities,15125,16405,17037,18805
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,12697,15028,15985,17320
+ Common Stock,0,0,0,0
+ Additional Paid in Capital,12696,15028,15985,17320
- Treasury Stock,144,122,112,72
+ Retained Earnings,-2777,-3359,-3905,-4353
+ Other Equity,-935,-913,-1086,-1389
Equity Before Minority Interest,8841,10634,10882,11506
+ Minority/Non Controlling Interest,0,0,0,0
Total Equity,8840,10634,10882,11506
Total Liabilities & Equity,23966,27039,27919,30311
Shares Outstanding,85,89,91,93
Capital Leases - Total,2967,3385,3389,3707
Net Debt,8450,8933,10067,10856
Net Debt to Equity,95.59,84.00,92.52,94.35
Tangible Common Equity Ratio,11,15,17,17
Current Ratio,1.33,1.28,1.84,1.80
Cash Conversion Cycle,0,-55.66,-54.93,-53.02
Number of Employees,8378,10013,10944,12097
