,2019,2020,2021,2022
+ Net Income,507,370,500,705
+ Depreciation & Amortization,1285,1427,1661,1739
+ Non-Cash Items,294,481,520,493
+ Stock-Based Compensation,237,295,364,404
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,16,7,0,0
+ Other Non-Cash Adj,41,178,156,89
+ Chg in Non-Cash Work Cap,-93,32,-133,26
+ (Inc) Dec in Accts Receiv,-27,25,-2,-153
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,-28,58,65,115
+ Inc (Dec) in Other,-38,-51,-195,65
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1993,2310,2547,2963
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-2080,-2283,-2752,-2278
+ Acq of Fixed Prod Assets,-2080,-2283,-2752,-2278
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,20,-98,-103,-123
+ Dec in LT Investment,40,29,4,22
+ Inc in LT Investment,-21,-128,-108,-145
+ Net Cash From Acq & Div,-34,-1180,-158,-964
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-34,-1180,-158,-964
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,149,134,7,2
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1945,-3427,-3007,-3363
+ Dividends Paid,-836,-948,-1043,-1151
+ Net Cash From Debt,392,-126,1005,1148
+ Cash From Debt,2798,5182,3879,1871
+ Repayments of Debt,-2406,-5309,-2873,-722
+ Cash (Repurchase) of Equity,1661,1981,498,796
+ Increase in Capital Stock,1661,1981,498,796
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-15,-92,-47,64
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,1202,816,414,857
Effect of Foreign Exchange Rates,9,41,-30,-98
Net Changes in Cash,1250,-302,-46,457
EBITDA,2451,2542,2781,2966
EBITDA Margin (%),44.07,42.37,41.90,40.83
Net Cash Paid for Acquisitions,34,1180,158,964
Free Cash Flow,-87,27,-204,685
Free Cash Flow to Firm,265,319,71,988
Free Cash Flow to Equity,0,-99,801,1834
Free Cash Flow per Basic Share,-1.03,0.31,-2.28,7.48
Price/Free Cash Flow,12.14,13.75,14.43,11.48
Cash Flow to Net Income,3.93,6.25,5.09,4.21
