,2019,2020,2021,2022
Total Debt,13287,13923,14993,16470
ST Debt,942,524,325,301
LT Debt,12346,13399,14668,16169
Total Debt/EBITDA,5.42,5.48,5.39,5.55
Net Debt/EBITDA,3.45,3.51,3.62,3.66
Total Debt/EBIT,11.40,12.49,13.39,13.43
Net Debt/EBIT,7.25,8.01,8.99,8.85
EBITDA to Interest Expense,5.11,6.25,8.27,8.32
EBITDA-CapEx/Interest Expense,0.77,0.64,0.09,1.93
EBIT to Interest Expense,2.43,2.74,3.33,3.44
Interest Expense,480,406,336,356
Common Equity/Total Assets,-11.59,-12.42,-13.99,-14.36
Long-Term Debt/Equity (%),139.65,126.00,134.79,140.53
Long-Term Debt/Capital (%),117.46,126.83,132.29,133.44
Long-Term Debt/Total Assets (%),51.51,49.55,52.54,53.34
Total Debt/Equity (%),150.30,130.93,137.78,143.14
Total Debt/Capital (%),126.42,131.79,135.22,135.92
Total Debt/Total Assets (%),55.44,51.49,53.70,54.34
Net Debt to Equity,95.59,84.00,92.52,94.35
Net Debt/Capital (%),97.80,99.70,105.40,106.32
EBITDA,2451,2542,2781,2966
EBITDA-CapEx,372,259,29,688
Operating Income (Loss),1166,1115,1120,1226
