,2019,2020,2021,2022
Price/Earnings,96.78,169.38,151.81,85.16
Price/Earnings Average,82.52,164.77,137.55,87.16
Price/Earnings High,101.14,199.17,158.88,110.21
Price/Earnings Low,56.97,113.34,105.30,64.34
Price/Book Value,-17.93,-18.95,-19.62,-13.94
Price/Book Value Average,-15.29,-18.44,-17.78,-14.27
Price/Book Value High,-18.74,-22.28,-20.53,-18.04
Price/Book Value Low,-10.55,-12.68,-13.61,-10.53
Price/Tangible Book Value,25.46,21.29,21.43,15.34
Price/Tangible Book Value Average,21.70,20.71,19.42,15.71
Price/Tangible Book Value High,26.60,25.03,22.43,19.86
Price/Tangible Book Value Low,14.98,14.24,14.87,11.59
Price/Sales,8.83,10.44,11.44,8.26
Price/Sales Average,7.53,10.16,10.37,8.45
Price/Sales High,9.23,12.28,11.98,10.69
Price/Sales Low,5.20,6.99,7.94,6.24
Price/Cash Flow,24.65,27.12,29.81,20.24
Price/Cash Flow Average,21.01,26.38,27.01,20.72
Price/Cash Flow High,25.76,31.88,31.20,26.20
Price/Cash Flow Low,14.51,18.14,20.68,15.29
Price/Free Cash Flow,12.14,13.75,14.43,11.48
Price/Free Cash Flow Average,10.35,13.38,13.08,11.75
Price/Free Cash Flow High,12.68,16.17,15.10,14.85
Price/Free Cash Flow Low,7.14,9.20,10.01,8.67
EV/Sales,11.00,12.67,13.57,10.36
EV/Sales Average,9.69,12.38,12.49,10.55
EV/Sales High,11.41,14.53,14.11,12.82
EV/Sales Low,7.32,9.15,10.04,8.32
EV/EBITDA,24.97,29.89,32.39,25.37
EV/EBITDA Average,21.98,29.21,29.80,25.85
EV/EBITDA High,25.89,34.29,33.67,31.38
EV/EBITDA Low,16.62,21.60,23.95,20.37
EV/EBIT,52.49,68.14,80.41,61.35
EV/EBIT Average,46.21,66.60,73.99,62.51
EV/EBIT High,54.42,78.19,83.60,75.90
EV/EBIT Low,34.93,49.26,59.46,49.25
Last Price,583.70,714.18,845.84,655.03
High Price,609.97,839.77,885.26,847.71
Low Price,343.58,477.87,586.73,494.89
Enterprise Value,61202,75972,90065,75232
Enterprise Value Average,53874,74245,82872,76661
Enterprise Value High,63453,87171,93635,93078
Enterprise Value Low,40728,54913,66597,60400
