,2019,2020,2021,2022
Shares Outstanding,85,89,91,93
Diluted Weighted Avg Shares,85,88,90,92
Basic Weighted Avg Shares,84,88,90,92
Revenue per Share,66.11,68.40,73.92,79.32
EBITDA per Share,29.13,28.98,30.97,32.39
Operating Income per Share,13.86,12.71,12.48,13.39
"Basic EPS, GAAP",6.03,4.22,5.57,7.69
Basic EPS from Cont Ops,6.03,4.22,5.57,7.69
"Diluted EPS, GAAP",5.99,4.18,5.53,7.67
Diluted EPS from Cont Ops,5.99,4.19,5.53,7.67
Dividend per Share,9.94,10.81,11.62,12.57
Cash Flow per Share,23.68,26.34,28.37,32.36
Free Cash Flow per Basic Share,-1.03,0.31,-2.28,7.48
Cash & Equivalents per Share,22.04,18.06,16.96,20.58
Book Value per Share,-32.55,-37.68,-43.11,-46.99
Tangible Book Value per Share,22.93,33.55,39.47,42.69
