,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.45,1.82,2.42
Return on Capital (%),0,6.27,7.17,8.68
Return on Invested Capital (%),0,3.40,3.63,3.85
Gross Margin (%),49.48,48.75,47.67,48.35
EBITDA Margin (%),44.07,42.37,41.90,40.83
Operating Margin (%),20.96,18.59,16.88,16.88
Incremental Operating Margin (%),0,-11.69,0.82,16.93
Pretax Margin (%),12.45,8.61,9.18,11.42
Profit Margin (%),9.12,6.16,7.54,9.70
Net Income to Common Margin (%),9.12,6.16,7.54,9.70
Effective Tax Rate (%),26.76,28.31,17.94,15.05
Dvd Payout Ratio (%),164.91,255.94,208.89,163.37
Sustainable Growth Rate (%),0,0,0,0
