,2019,2020,2021,2022
Total Debt,9368,8373,8654,7734
ST Debt,1018,415,315,130
LT Debt,8350,7959,8339,7605
Total Debt/EBITDA,5.35,5.17,5.88,4.53
Net Debt/EBITDA,5.13,4.94,5.58,4.32
Total Debt/EBIT,10.31,10.65,13.95,9.53
Net Debt/EBIT,9.89,10.18,13.25,9.08
EBITDA to Interest Expense,4.49,4.43,5.40,6.03
EBITDA-CapEx/Interest Expense,4.48,4.38,5.40,6.02
EBIT to Interest Expense,2.33,2.15,2.28,2.87
Interest Expense,390,365,272,283
Common Equity/Total Assets,6.57,6.92,8.65,8.22
Long-Term Debt/Equity (%),75.86,71.68,71.36,64.99
Long-Term Debt/Capital (%),72.69,76.59,74.10,76.34
Long-Term Debt/Total Assets (%),39.44,39.23,39.39,37.61
Total Debt/Equity (%),85.10,75.42,74.05,66.10
Total Debt/Capital (%),81.55,80.58,76.90,77.64
Total Debt/Total Assets (%),44.25,41.27,40.88,38.25
Net Debt to Equity,81.68,72.07,70.32,63.00
Net Debt/Capital (%),78.58,77.32,73.84,74.40
EBITDA,1752,1619,1472,1706
EBITDA-CapEx,1747,1599,1470,1702
Operating Income (Loss),909,786,620,812
