,2019,2020,2021,2022
Cash Ratio,0.03,0.05,0.17,0.10
Current Ratio,0.08,0.12,0.50,0.26
Quick Ratio,0.03,0.05,0.17,0.10
CFO/Avg Current Liab,0,1.14,1.63,2.31
Common Equity/Total Assets,6.57,6.92,8.65,8.22
Long-Term Debt/Equity (%),75.86,71.68,71.36,64.99
Long-Term Debt/Capital (%),72.69,76.59,74.10,76.34
Long-Term Debt/Total Assets (%),39.44,39.23,39.39,37.61
Total Debt/Equity (%),85.10,75.42,74.05,66.10
Total Debt/Capital (%),81.55,80.58,76.90,77.64
Total Debt/Total Assets (%),44.25,41.27,40.88,38.25
CFO/Total Liabilities,14.33,13.78,13.29,17.08
CFO/CapEx,294.04,62.96,743.03,359.20
Altman's Z-Score,2.06,0.31,0.31,1.93
