,2019,2020,2021,2022
Shares Outstanding,372,372,376,378
Diluted Weighted Avg Shares,386,386,388,389
Basic Weighted Avg Shares,370,372,374,376
Revenue per Share,7.29,6.92,6.59,7.27
EBITDA per Share,4.73,4.35,3.94,4.53
Operating Income per Share,2.45,2.11,1.66,2.16
"Basic EPS, GAAP",2.61,2.45,3.56,2.06
Basic EPS from Cont Ops,2.72,2.50,3.74,2.15
"Diluted EPS, GAAP",2.50,2.36,3.43,1.99
Diluted EPS from Cont Ops,2.61,2.41,3.60,2.07
Dividend per Share,2.25,2.39,2.42,2.48
Cash Flow per Share,3.93,3.40,3.37,3.87
Free Cash Flow per Basic Share,3.92,3.35,3.37,3.86
Cash & Equivalents per Share,0.12,0.11,0.33,0.14
Book Value per Share,3.74,3.77,4.88,4.39
Tangible Book Value per Share,29.52,29.72,31.02,30.82
