,2019,2020,2021,2022
Return on Common Equity (%),0,65.19,82.23,44.30
Return on Assets (%),0,4.41,6.43,3.75
Return on Capital (%),0,11.24,14.24,9.70
Return on Invested Capital (%),0,3.94,3.11,4.08
Gross Margin (%),66.37,64.37,61.49,64.08
EBITDA Margin (%),64.85,62.94,59.73,62.37
Operating Margin (%),33.65,30.57,25.18,29.68
Incremental Operating Margin (%),0,94.86,153.89,70.54
Pretax Margin (%),34.78,36.26,56.86,29.72
Profit Margin (%),35.93,35.53,54.09,28.40
Net Income to Common Margin (%),35.81,35.41,53.97,28.29
Effective Tax Rate (%),0,0.09,0.07,0.11
Dvd Payout Ratio (%),79.62,90.75,61.78,111.63
Sustainable Growth Rate (%),0,6.03,31.43,-5.15
