,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.01,0.01,0.01,0.01,0.01,0.03,0.00,0.02,0.01,0.06
Current Ratio,0.64,0.86,0.88,0.68,0.69,0.56,0.67,0.64,0.56,0.62
Quick Ratio,0.32,0.46,0.44,0.31,0.32,0.31,0.33,0.31,0.26,0.31
CFO/Avg Current Liab,0.48,0.51,0.47,0.66,0.55,0.46,0.52,0.39,0.36,0.38
Common Equity/Total Assets,13.64,13.82,14.61,15.11,14.44,14.70,14.36,13.89,14.01,13.76
Long-Term Debt/Equity (%),79.62,84.94,83.80,81.25,104.75,110.22,111.93,109.87,118.45,128.83
Long-Term Debt/Capital (%),58.25,61.12,59.43,56.05,62.64,62.87,66.15,63.70,64.33,66.18
Long-Term Debt/Total Assets (%),27.98,28.90,28.79,27.55,32.51,33.56,34.80,33.89,36.04,37.82
Total Debt/Equity (%),96.27,96.80,97.03,98.94,119.32,125.68,121.78,126.37,137.03,146.78
Total Debt/Capital (%),70.44,69.66,68.81,68.26,71.35,71.69,71.98,73.26,74.42,75.40
Total Debt/Total Assets (%),33.83,32.94,33.34,33.54,37.03,38.26,37.86,38.98,41.70,43.10
CFO/Total Liabilities,9.23,8.32,7.09,10.27,8.03,6.71,7.09,5.28,5.82,6.39
CFO/CapEx,1.14,1.02,0.83,1.10,0.85,0.71,0.69,0.57,0.62,0.70
Altman's Z-Score,1.02,1.14,1.13,1.09,1.04,0.98,1.11,1.03,1.02,0.96
