,2019,2020,2021,2022
Total Debt,5886,6326,6358,6027
ST Debt,55,0,341,52
LT Debt,5831,6326,6017,5975
Total Debt/EBITDA,6.03,6.62,7.01,5.78
Net Debt/EBITDA,5.87,6.46,6.87,5.67
Total Debt/EBIT,11.97,14.71,16.42,11.97
Net Debt/EBIT,11.65,14.35,16.09,11.75
EBITDA to Interest Expense,4.67,4.55,4.72,5.30
EBITDA-CapEx/Interest Expense,4.18,4.12,4.09,4.47
EBIT to Interest Expense,2.35,2.05,2.01,2.56
Interest Expense,209,210,192,197
Common Equity/Total Assets,-6.99,-6.66,-7.05,-8.73
Long-Term Debt/Equity (%),90.52,101.77,96.87,100.89
Long-Term Debt/Capital (%),111.73,111.38,106.33,115.96
Long-Term Debt/Total Assets (%),45.89,48.90,46.29,48.29
Total Debt/Equity (%),91.38,101.77,102.37,101.77
Total Debt/Capital (%),112.78,111.38,112.36,116.97
Total Debt/Total Assets (%),46.32,48.90,48.92,48.71
Net Debt to Equity,88.93,99.23,100.28,99.89
Net Debt/Capital (%),111.49,110.23,111.22,115.77
EBITDA,975,955,907,1043
EBITDA-CapEx,874,865,786,879
Operating Income (Loss),492,430,387,503
