,2019,2020,2021,2022
Price/Earnings,45.09,0,0,33.78
Price/Earnings Average,44.62,0,0,44.08
Price/Earnings High,50.08,0,0,57.91
Price/Earnings Low,35.30,0,0,28.02
Price/Book Value,-22.40,0,0,-12.67
Price/Book Value Average,-22.17,0,0,-16.54
Price/Book Value High,-24.88,0,0,-21.73
Price/Book Value Low,-17.54,0,0,-10.52
Price/Tangible Book Value,3.09,0,0,2.31
Price/Tangible Book Value Average,3.06,0,0,3.02
Price/Tangible Book Value High,3.43,0,0,3.96
Price/Tangible Book Value Low,2.42,0,0,1.92
Price/Sales,13.57,0,0,8.58
Price/Sales Average,13.43,0,0,11.20
Price/Sales High,15.07,0,0,14.72
Price/Sales Low,10.62,0,0,7.12
Price/Cash Flow,21.55,0,0,14.14
Price/Cash Flow Average,21.33,0,0,18.45
Price/Cash Flow High,23.94,0,0,24.24
Price/Cash Flow Low,16.87,0,0,11.73
Price/Free Cash Flow,19.43,0,0,12.11
Price/Free Cash Flow Average,19.23,0,0,15.81
Price/Free Cash Flow High,21.59,0,0,20.77
Price/Free Cash Flow Low,15.21,0,0,10.05
EV/Sales,17.65,4.22,4.39,12.30
EV/Sales Average,17.60,4.32,4.52,14.97
EV/Sales High,19.25,4.32,4.52,18.46
EV/Sales Low,14.79,4.32,4.52,10.92
EV/EBITDA,26.42,6.60,6.97,18.96
EV/EBITDA Average,26.35,6.76,7.18,23.07
EV/EBITDA High,28.82,6.76,7.18,28.45
EV/EBITDA Low,22.14,6.76,7.18,16.83
EV/EBIT,52.42,14.68,16.34,39.28
EV/EBIT Average,52.29,15.02,16.83,47.79
EV/EBIT High,57.19,15.02,16.83,58.94
EV/EBIT Low,43.92,15.02,16.83,34.86
Last Price,300.86,0,0,211.92
High Price,334.17,0,0,363.36
Low Price,235.51,0,0,175.81
Enterprise Value,25765,6309,6325,19768
Enterprise Value Average,25702,6457,6517,24056
Enterprise Value High,28111,6457,6517,29665
Enterprise Value Low,21590,6457,6517,17548
