,2019,2020,2021,2022
Shares Outstanding,66,65,65,65
Diluted Weighted Avg Shares,66,66,65,65
Basic Weighted Avg Shares,66,65,65,65
Revenue per Share,22.18,22.85,22.14,24.69
EBITDA per Share,14.81,14.60,13.95,16.02
Operating Income per Share,7.47,6.57,5.95,7.73
"Basic EPS, GAAP",6.67,8.69,7.51,6.27
Basic EPS from Cont Ops,7.05,9.16,7.93,6.65
"Diluted EPS, GAAP",6.66,8.68,7.51,6.27
Diluted EPS from Cont Ops,7.04,9.14,7.92,6.65
Dividend per Share,8.03,8.19,8.35,8.70
Cash Flow per Share,13.96,12.27,13.92,14.99
Free Cash Flow per Basic Share,12.41,10.89,12.05,12.48
Cash & Equivalents per Share,3.41,3.57,3.84,2.41
Book Value per Share,-13.43,-13.25,-14.05,-16.72
Tangible Book Value per Share,97.45,95.62,95.19,91.67
