,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,4.44,3.77,3.22
Return on Capital (%),0,13.72,11.43,0
Return on Invested Capital (%),0,3.45,2.99,0
Gross Margin (%),70.51,68.25,66.58,68.39
EBITDA Margin (%),66.79,63.87,62.98,64.89
Operating Margin (%),33.66,28.74,26.88,31.32
Incremental Operating Margin (%),0,-173.23,77.34,69.84
Pretax Margin (%),31.91,40.17,36.89,26.31
Profit Margin (%),30.08,38.03,33.91,25.41
Net Income to Common Margin (%),30.08,38.03,33.91,25.41
Effective Tax Rate (%),0.31,0.25,2.95,0
Dvd Payout Ratio (%),107.93,85.12,100.01,123.66
Sustainable Growth Rate (%),0,0,0,0
