,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7179,13935,17062,19827,23635,31240,48599,55962,81557,45385
- Cash & Cash Equivalents,420,654,718,930,818,714,1179,1183,863,769
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,593,598,600,822,1036,594,679,695,690,691
Enterprise Value,6835,13095,16437,19378,23334,30877,47761,55255,80781,44861
Total Capital,2765,3569,4176,4971,3249,3504,4639,5896,7400,8928
Total Debt/Capital (%),21.45,16.76,14.37,16.54,31.90,16.95,14.63,11.79,9.33,7.74
Total Debt / EV,0.09,0.05,0.04,0.04,0.04,0.02,0.01,0.01,0.01,0.02
EV/Sales,3.34,5.64,6.59,6.54,6.79,8.29,10.98,12.60,15.44,8.33
EV/EBITDA,13.06,23.32,23.20,21.79,21.12,26.85,35.96,38.81,46.92,23.26
EV/EBIT,15.04,26.57,25.57,23.68,22.82,28.78,38.56,41.97,50.91,25.07
EV/Cash Flow to Firm,14.34,12.71,29.50,27.26,23.28,33.39,39.87,51.71,46.20,36.33
EV/Free Cash Flow to Firm,11.63,11.54,24.63,19.99,19.69,26.40,31.83,37.43,38.80,29.52
Diluted Market Cap,7474,14026,17450,20408,24334,32128,49327,56644,82485,46572
Diluted Enterprise Value,7647,13970,17331,20300,24552,32007,48827,56155,82313,46494
EV per Share,10.42,20.25,25.44,30.53,37.09,49.55,76.14,88.51,129.44,73.75
TTM Sales,2046,2323,2494,2964,3435,3723,4348,4386,5233,5382
TTM EBITDA,523,561,709,890,1105,1150,1328,1424,1722,1929
TTM Operating Income,455,493,643,818,1023,1073,1239,1317,1587,1789
TTM Cash Flow to Firm,477,1030,557,711,1002,925,1198,1068,1748,1235
TTM Free Cash Flow to Firm,588,1134,667,970,1185,1170,1500,1476,2082,1520
