,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,1.46,0.98,0.94,1.05,0.96,0.70,1.05,0.81,0.46,0.99
Current Ratio,2.78,2.33,2.31,2.39,2.32,2.06,2.37,2.09,1.78,2.20
Quick Ratio,2.70,2.24,2.23,2.33,2.26,1.89,2.18,1.86,1.49,2.02
CFO/Avg Current Liab,0.48,0.43,0.61,0.59,0.48,0.47,0.62,0.43,0.31,0.74
Common Equity/Total Assets,69.30,65.90,68.66,69.75,66.26,63.07,62.92,52.80,47.59,59.25
Long-Term Debt/Equity (%),0,0,0,0,0,0,14.85,13.67,11.02,13.58
Long-Term Debt/Capital (%),0,0,0,0,0,0,12.01,11.97,9.42,11.03
Long-Term Debt/Total Assets (%),0,0,0,0,0,0,8.84,7.39,5.07,7.56
Total Debt/Equity (%),0,0,0,0,0,0,17.83,16.45,13.37,16.65
Total Debt/Capital (%),0,0,0,0,0,0,14.42,14.40,11.43,13.52
Total Debt/Total Assets (%),0,0,0,0,0,0,10.61,8.89,6.15,9.27
CFO/Total Liabilities,43.89,38.75,63.61,56.07,43.53,43.17,51.65,28.93,21.12,85.98
CFO/CapEx,7.63,6.12,12.72,8.92,5.14,12.07,16.42,13.78,23.96,24.53
Altman's Z-Score,10.00,9.46,10.59,10.58,10.56,9.80,9.62,8.18,7.38,9.38
