,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.78,5.68,5.64,5.30,5.31,5.43,5.64,6.11,5.69,5.77
Days Sales Outstanding,63.18,64.21,64.77,68.91,68.69,67.19,64.66,59.77,64.15,63.27
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,8.34,8.18,8.08,7.65,7.58,8.05,8.77,9.56,9.12,9.55
Accounts Payable Turnover Days,43.78,44.62,45.16,47.71,48.15,45.34,41.64,38.17,40.03,38.23
Cash Conversion Cycle,19.40,19.58,19.61,21.19,20.54,21.85,23.02,21.60,24.12,25.03
Inventory to Cash Days,63.18,64.21,64.77,68.91,68.69,67.19,64.66,59.77,64.15,63.27
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
