,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,8.87,8.27,7.17,7.23,6.27,5.59,5.16,3.22,8.75,6.98
Days Sales Outstanding,41.17,44.11,50.89,50.46,58.22,65.32,70.70,113.21,41.71,52.28
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0.82,0.83,0.78,0.82,0.76,0.78,0.81,0.86,0.98,0.71
Accounts Payable Turnover Days,447.03,441.97,468.99,445.96,480.20,466.47,448.36,426.38,373.99,515.12
Cash Conversion Cycle,-405.86,-397.85,-418.09,-395.51,-421.98,-401.14,-377.66,-313.17,-332.28,-462.84
Inventory to Cash Days,41.17,44.11,50.89,50.46,58.22,65.32,70.70,113.21,41.71,52.28
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
