,2019,2020,2021,2022
Total Debt,5321,6010,6191,7560
ST Debt,158,949,535,945
LT Debt,5163,5061,5656,6615
Total Debt/EBITDA,6.23,6.89,5.75,5.70
Net Debt/EBITDA,5.83,6.46,5.47,5.46
Total Debt/EBIT,8.40,9.27,7.41,7.29
Net Debt/EBIT,7.86,8.70,7.05,6.98
EBITDA to Interest Expense,4.46,5.06,6.48,6.05
EBITDA-CapEx/Interest Expense,4.42,5.02,6.46,5.95
EBIT to Interest Expense,3.31,3.76,5.03,4.73
Interest Expense,191,172,166,219
Common Equity/Total Assets,-3.51,-3.76,-1.21,-1.11
Long-Term Debt/Equity (%),176.72,172.36,149.40,162.21
Long-Term Debt/Capital (%),95.56,83.72,84.00,80.24
Long-Term Debt/Total Assets (%),60.51,53.86,54.00,54.37
Total Debt/Equity (%),182.13,204.68,163.53,185.38
Total Debt/Capital (%),98.48,99.42,91.94,91.70
Total Debt/Total Assets (%),62.37,63.96,59.11,62.14
Net Debt to Equity,170.47,191.99,155.48,177.49
Net Debt/Capital (%),93.32,94.98,88.35,88.80
EBITDA,854,873,1077,1326
EBITDA-CapEx,846,865,1073,1303
Operating Income (Loss),634,648,835,1038
