,2019,2020,2021,2022
Market Capitalization,13681,15219,30364,19710
- Cash & Cash Equivalents,66,109,71,93
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,382,388,669,819
+ Total Debt,5321,6010,6191,7560
Enterprise Value,19319,21508,37154,27997
Total Capital,5403,6045,6734,8245
Total Debt/Capital (%),98.48,99.42,91.94,91.70
Total Debt / EV,0.28,0.28,0.17,0.27
EV/Sales,14.76,15.86,23.55,14.55
EV/EBITDA,22.63,24.65,34.50,21.11
EV/EBIT,30.48,33.19,44.49,26.98
EV/Cash Flow to Firm,21.60,22.90,33.33,19.28
EV/Free Cash Flow to Firm,21.42,22.73,33.22,18.98
Diluted Market Cap,14410,15014,31746,20853
Diluted Enterprise Value,20047,21303,38535,29139
EV per Share,149.14,163.74,277.43,209.05
TTM Sales,1308,1356,1577,1924
TTM EBITDA,854,873,1077,1326
TTM Operating Income,634,648,835,1038
TTM Cash Flow to Firm,894,939,1115,1452
TTM Free Cash Flow to Firm,902,946,1119,1475
