,2019,2020,2021,2022
Cash Ratio,0.21,0.10,0.10,0.08
Current Ratio,0.22,0.11,0.10,0.08
Quick Ratio,0.35,0.36,0.66,0.62
CFO/Avg Current Liab,0,1.07,1.02,1.29
Common Equity/Total Assets,-3.51,-3.76,-1.21,-1.11
Long-Term Debt/Equity (%),176.72,172.36,149.40,162.21
Long-Term Debt/Capital (%),95.56,83.72,84.00,80.24
Long-Term Debt/Total Assets (%),60.51,53.86,54.00,54.37
Total Debt/Equity (%),182.13,204.68,163.53,185.38
Total Debt/Capital (%),98.48,99.42,91.94,91.70
Total Debt/Total Assets (%),62.37,63.96,59.11,62.14
CFO/Total Liabilities,12.61,11.94,14.24,15.31
CFO/CapEx,91.15,108.73,260.30,54.23
Altman's Z-Score,1.78,1.61,3.05,1.78
