,2019,2020,2021,2022
Shares Outstanding,130,131,134,134
Diluted Weighted Avg Shares,136,130,140,142
Basic Weighted Avg Shares,128,130,133,134
Revenue per Share,10.21,10.47,11.83,14.35
EBITDA per Share,6.66,6.74,8.08,9.89
Operating Income per Share,4.94,5.00,6.26,7.74
"Basic EPS, GAAP",3.28,3.72,6.21,6.42
Basic EPS from Cont Ops,3.52,4.00,6.58,6.87
"Diluted EPS, GAAP",3.08,3.72,5.91,6.07
Diluted EPS from Cont Ops,3.31,3.99,6.27,6.50
Dividend per Share,3.57,3.61,4.51,6.01
Cash Flow per Share,5.52,5.95,7.14,9.24
Free Cash Flow per Basic Share,5.46,5.90,7.11,9.07
Cash & Equivalents per Share,0.51,0.83,0.53,0.69
Book Value per Share,-2.31,-2.69,-0.95,-1.00
Tangible Book Value per Share,21.51,21.31,27.17,29.02
