,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,5.37,8.33,7.60
Return on Capital (%),0,10.72,14.71,13.55
Return on Invested Capital (%),0,7.34,8.63,9.39
Gross Margin (%),72.07,71.46,74.76,75.63
EBITDA Margin (%),65.24,64.33,68.28,68.91
Operating Margin (%),48.44,47.78,52.95,53.93
Incremental Operating Margin (%),0,29.97,84.62,58.39
Pretax Margin (%),35.34,39.18,56.94,48.96
Profit Margin (%),32.10,35.52,52.47,44.73
Net Income to Common Margin (%),32.10,35.52,52.47,44.73
Effective Tax Rate (%),2.45,2.60,2.26,2.22
Dvd Payout Ratio (%),94.99,84.53,64.77,82.04
Sustainable Growth Rate (%),0,0,0,0
