,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,90,365,390,415,500,591,650,637,802
ST Debt,0,90,62,10,3,3,100,134,151,294
LT Debt,0,0,303,380,412,497,490,517,486,508
Total Debt/EBITDA,0,0.10,0.40,0.43,0.41,0.44,0.49,0.50,0.46,0.49
Net Debt/EBITDA,-0.08,-0.03,0.26,0.31,0.30,0.29,0.14,0.12,0.11,0.20
Total Debt/EBIT,0,0.11,0.44,0.49,0.47,0.50,0.56,0.57,0.52,0.55
Net Debt/EBIT,-0.08,-0.03,0.29,0.35,0.34,0.33,0.16,0.14,0.13,0.22
EBITDA to Interest Expense,6869.07,939.12,294.06,138.28,110.79,90.23,86.67,134.31,143.10,114.00
EBITDA-CapEx/Interest Expense,5041.28,732.05,244.14,109.15,97.62,76.24,68.94,116.98,126.96,101.85
EBIT to Interest Expense,6301.01,859.70,266.20,122.28,96.79,79.26,75.97,117.57,125.51,101.65
Interest Expense,0,1,3,7,9,13,14,10,10,14
Common Equity/Total Assets,81.50,80.09,72.88,72.80,72.62,70.59,69.39,67.91,69.24,70.89
Long-Term Debt/Equity (%),0,0,16.82,19.63,19.65,21.58,18.39,18.90,15.98,16.07
Long-Term Debt/Capital (%),0,0,13.70,16.27,16.29,17.47,15.19,15.45,13.45,12.63
Long-Term Debt/Total Assets (%),0,0,11.96,14.22,14.16,14.96,12.90,13.03,11.30,11.18
Total Debt/Equity (%),0,4.70,20.26,20.17,19.79,21.71,22.16,23.79,20.93,25.36
Total Debt/Capital (%),0,4.55,16.51,16.72,16.41,17.58,18.30,19.45,17.62,19.92
Total Debt/Total Assets (%),0,3.82,14.41,14.61,14.26,15.05,15.54,16.40,14.81,17.63
Net Debt to Equity,-3.30,-1.28,13.10,14.34,14.22,14.45,6.38,5.83,5.06,10.27
Net Debt/Capital (%),-3.58,-1.31,11.34,12.49,12.36,12.43,5.57,5.14,4.55,8.56
EBITDA,776,859,914,899,1008,1137,1205,1303,1388,1630
EBITDA-CapEx,570,670,759,710,888,961,958,1135,1232,1456
Operating Income (Loss),712,787,827,795,881,999,1056,1140,1217,1454
