,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,22.32,25.17,27.47,21.13,23.71,32.72,29.42,35.90,36.01,41.75
Price/Earnings Average,21.10,21.92,25.56,18.90,25.10,28.63,26.68,29.04,31.32,39.84
Price/Earnings High,24.52,25.54,29.83,21.24,27.75,33.12,33.02,36.99,36.23,47.26
Price/Earnings Low,18.95,19.97,18.99,16.07,22.81,22.61,20.36,19.86,27.87,33.00
Price/Book Value,6.33,6.26,6.48,5.57,4.20,69.93,27.76,21.18,15.66,14.11
Price/Book Value Average,5.98,5.46,6.03,4.98,4.44,61.18,25.17,17.14,13.62,13.46
Price/Book Value High,6.95,6.36,7.03,5.60,4.91,70.79,31.16,21.83,15.76,15.97
Price/Book Value Low,5.37,4.97,4.48,4.24,4.04,48.31,19.21,11.72,12.12,11.15
Price/Tangible Book Value,16.99,29.00,36.13,-249.49,-19.05,-26.53,-77.39,199.21,112.57,-10.88
Price/Tangible Book Value Average,16.06,25.25,33.63,-223.12,-20.16,-23.21,-70.18,161.16,97.92,-10.38
Price/Tangible Book Value High,18.66,29.42,39.24,-250.78,-22.30,-26.85,-86.85,205.27,113.28,-12.32
Price/Tangible Book Value Low,14.42,23.00,24.98,-189.69,-18.33,-18.33,-53.56,110.20,87.14,-8.60
Price/Sales,5.17,5.79,6.58,6.35,5.01,6.47,7.23,8.96,9.04,8.99
Price/Sales Average,4.88,5.04,6.12,5.68,5.31,5.66,6.56,7.25,7.86,8.58
Price/Sales High,5.67,5.87,7.14,6.38,5.87,6.55,8.12,9.23,9.10,10.17
Price/Sales Low,4.39,4.59,4.55,4.83,4.82,4.47,5.00,4.96,7.00,7.10
Price/Cash Flow,16.43,20.09,21.61,21.62,19.10,22.66,24.30,26.47,25.91,30.78
Price/Cash Flow Average,15.53,17.50,20.11,19.33,20.22,19.83,22.03,21.41,22.54,29.38
Price/Cash Flow High,18.05,20.39,23.46,21.73,22.36,22.94,27.27,27.27,26.08,34.85
Price/Cash Flow Low,13.95,15.94,14.93,16.44,18.38,15.66,16.82,14.64,20.06,24.33
Price/Free Cash Flow,15.84,19.36,20.38,19.52,17.41,21.19,21.74,23.38,23.78,28.76
Price/Free Cash Flow Average,14.97,16.86,18.97,17.46,18.42,18.54,19.72,18.91,20.68,27.44
Price/Free Cash Flow High,17.40,19.65,22.13,19.62,20.37,21.46,24.40,24.09,23.93,32.56
Price/Free Cash Flow Low,13.45,15.36,14.09,14.84,16.74,14.64,15.05,12.93,18.41,22.73
EV/Sales,4.92,5.64,6.43,6.39,5.30,6.63,7.36,9.16,9.08,9.94
EV/Sales Average,4.65,4.91,6.00,5.74,5.62,5.86,6.70,7.46,7.93,9.55
EV/Sales High,5.45,5.74,7.02,6.45,6.18,6.73,8.26,9.45,9.16,11.15
EV/Sales Low,4.16,4.46,4.42,4.89,5.14,4.68,5.15,5.16,7.07,8.07
EV/EBITDA,13.84,15.41,17.82,18.59,16.16,21.14,21.18,27.53,24.85,27.38
EV/EBITDA Average,13.09,13.43,16.62,16.70,17.14,18.67,19.30,22.42,21.71,26.30
EV/EBITDA High,15.31,15.70,19.45,18.74,18.85,21.46,23.78,28.39,25.06,30.72
EV/EBITDA Low,11.69,12.20,12.26,14.22,15.66,14.92,14.83,15.51,19.35,22.22
EV/EBIT,15.68,17.17,19.50,20.61,18.38,24.45,24.11,31.14,30.47,33.97
EV/EBIT Average,14.83,14.96,18.19,18.51,19.49,21.59,21.96,25.36,26.62,32.62
EV/EBIT High,17.34,17.49,21.29,20.78,21.43,24.82,27.06,32.11,30.74,38.10
EV/EBIT Low,13.24,13.59,13.42,15.77,17.81,17.26,16.88,17.55,23.73,27.56
Last Price,102.35,127.40,160.25,178.81,156.92,225.63,272.09,352.92,380.08,437.63
High Price,112.40,129.28,174.03,179.73,183.64,228.41,305.38,363.64,382.47,495.40
Low Price,86.88,101.07,110.77,135.95,150.95,155.88,188.31,195.22,294.21,345.92
Enterprise Value,4225,5188,6474,7207,6471,8954,10560,13692,14445,18333
Enterprise Value Average,3994,4521,6038,6474,6862,7906,9620,11148,12620,17605
Enterprise Value High,4673,5287,7066,7268,7546,9090,11855,14119,14571,20564
Enterprise Value Low,3567,4108,4453,5515,6271,6320,7392,7714,11251,14877
