,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
+ Net Income,2097,1050,1820,2997,4572,540,1286,5231,3826,3972
+ Depreciation & Amortization,2587,2611,2631,2995,3095,3353,3615,3793,3970,4176
+ Non-Cash Items,828,2142,1794,1140,467,4211,4288,2983,5155,3840
+ Stock-Based Compensation,117,133,144,154,167,174,168,200,190,182
+ Deferred Income Taxes,581,-572,31,909,-231,-233,2449,2887,2931,0
+ Asset Impairment Charge,0,246,0,0,380,0,435,0,0,117
+ Other Non-Cash Adj,130,2335,1619,77,151,4270,1236,-104,2034,3541
+ Chg in Non-Cash Work Cap,-1248,-437,-537,-2202,-3460,-2491,-4092,-1872,-3119,-3173
+ (Inc) Dec in Accts Receiv,-516,-392,-199,-556,-1049,-873,-1331,-1389,-310,782
+ (Inc) Dec in Inventories,0,0,0,0,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,-235,659,467,103,141,-571,-1787,71,-1861,-3331
+ Inc (Dec) in Other,-497,-704,-805,-1749,-2552,-1047,-974,-554,-948,-624
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,4264,5366,5708,4930,4674,5613,5097,10135,9832,8815
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-3533,-4347,-4818,-5116,-5663,-5490,-5868,-5884,-6763,-6174
+ Acq of Fixed Prod Assets,-3533,-4347,-4818,-5116,-5663,-5490,-5868,-5884,-6763,-6174
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,0,0,0,0,0,-147,-84
+ Dec in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0,-147,-84
+ Net Cash From Acq & Div,-36,-1429,-4618,0,-56,-66,0,-228,0,0
+ Cash from Divestitures,0,0,0,0,123,0,0,0,0,0
+ Cash for Acq of Subs,-36,-1429,-4618,0,-179,-66,0,-228,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,18,24,-10,135,42,83,22,102,94,84
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-3551,-5752,-9446,-4981,-5677,-5473,-5846,-6010,-6816,-6174
+ Dividends Paid,-187,-227,-277,-426,-535,-683,-679,-686,-793,-1177
+ Net Cash From Debt,1743,2486,6478,1108,1442,1027,4008,-2106,-161,-152
+ Cash From Debt,1997,2491,6519,1190,1480,2463,6556,4212,0,0
+ Repayments of Debt,-254,-5,-41,-82,-38,-1436,-2548,-6318,-161,-152
+ Cash (Repurchase) of Equity,-4300,-934,-2539,-172,-690,-1379,61,740,-2064,-1269
+ Increase in Capital Stock,557,320,183,337,327,101,64,740,184,231
+ Decrease in Capital Stock,-4857,-1254,-2722,-509,-1017,-1480,-3,0,-2248,-1500
+ Other Financing Activities,25,24,-51,18,10,-4,-9,-38,-1,1
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-2719,1349,3611,528,227,-1039,3381,-2090,-3019,-2597
Effect of Foreign Exchange Rates,-3,-108,-102,-42,72,-47,-70,171,-187,-118
Net Changes in Cash,-2006,963,-127,477,-776,-899,2632,2035,-3,44
EBITDA,6033,4754,5708,8032,7367,8139,6467,9766,10493,9514
EBITDA Margin (%),13.24,10.02,11.33,13.32,11.26,11.68,9.34,11.63,11.22,10.55
Net Cash Paid for Acquisitions,36,1429,4618,0,56,66,0,228,0,0
Free Cash Flow,731,1019,890,-186,-989,123,-771,4251,3069,2641
Free Cash Flow to Firm,833,1171,1113,149,0,608,-253,4873,3607,3155
Free Cash Flow to Equity,2474,3505,7368,922,453,1150,3237,2145,2908,2489
Free Cash Flow per Basic Share,2.38,3.60,3.22,-0.70,-3.70,0.47,-2.95,16.10,11.67,10.40
Price/Free Cash Flow,5.73,5.12,4.36,5.21,6.66,3.73,3.12,5.27,3.52,3.86
Cash Flow to Net Income,2.03,5.11,3.14,1.64,1.02,10.39,3.96,1.94,2.57,2.22
