,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Accounts Receivable Turnover,8.68,8.49,7.77,8.12,8.14,7.92,7.20,7.61,7.84,8.18
Days Sales Outstanding,42.07,42.99,47.00,44.93,44.84,46.08,50.67,47.99,46.53,44.64
Inventory Turnover,78.68,80.95,80.56,92.10,97.69,101.79,99.33,113.90,119.84,114.41
Days Inventory Outstanding,4.64,4.51,4.53,3.96,3.74,3.59,3.67,3.20,3.05,3.19
Accounts Payable Turnover,18.81,19.29,15.98,16.34,17.72,18.28,17.75,18.57,18.65,18.09
Accounts Payable Turnover Days,19.41,18.93,22.84,22.34,20.60,19.97,20.57,19.65,19.57,20.18
Cash Conversion Cycle,27.30,28.58,28.69,26.55,27.98,29.69,33.78,31.54,30.00,27.65
Inventory to Cash Days,37.43,38.48,42.47,40.97,41.10,42.49,47.00,44.79,43.48,41.45
Inventories,463,498,496,514,525,553,572,587,637,604
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,463,498,496,514,525,553,572,587,637,604
