,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,35,32,31,31,30,29,29,29,28,25
Diluted Weighted Avg Shares,36,35,33,32,32,31,30,30,29,26
Basic Weighted Avg Shares,35,34,31,31,31,30,29,29,29,26
Revenue per Share,21.04,23.29,26.71,28.31,30.20,34.75,40.03,44.54,45.82,52.89
EBITDA per Share,5.61,5.87,6.04,6.46,7.06,7.96,9.84,12.78,15.27,21.61
Operating Income per Share,4.67,4.91,4.96,5.45,5.89,6.95,8.75,11.73,14.38,20.83
"Basic EPS, GAAP",2.55,2.80,2.75,3.52,4.16,4.79,6.63,8.13,13.65,14.34
Basic EPS from Cont Ops,2.55,2.80,2.75,3.52,4.16,4.79,6.63,8.13,13.65,14.34
"Diluted EPS, GAAP",2.48,2.72,2.65,3.39,3.98,4.57,6.34,7.90,13.40,14.18
Diluted EPS from Cont Ops,2.48,2.72,2.65,3.39,3.98,4.57,6.34,7.90,13.40,14.18
Dividend per Share,0.08,0.08,0.08,0.08,0.04,0,0,0,0,0
Cash Flow per Share,3.85,5.17,4.23,5.95,7.31,7.51,8.98,12.55,14.75,19.56
Free Cash Flow per Basic Share,3.17,4.80,3.44,5.24,6.67,6.45,8.16,11.80,14.49,19.33
Cash & Equivalents per Share,2.39,3.28,2.75,2.45,3.49,3.10,3.68,5.41,7.09,5.30
Book Value per Share,34.28,40.08,43.74,47.70,52.86,60.01,67.61,75.38,93.78,117.63
Tangible Book Value per Share,-8.64,-11.65,-13.58,-12.45,-13.20,-19.01,-18.24,-16.86,-32.76,-62.22
