,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),22.13,26.65,21.67,17.81,34.01,19.57,6.85,4.15,13.15,0
Return on Assets (%),3.58,4.77,3.10,2.17,4.99,3.50,0.55,0.19,0.50,-22.87
Return on Capital (%),8.61,10.17,6.44,5.57,0,7.94,2.89,1.52,2.22,0
Return on Invested Capital (%),5.93,7.53,4.26,4.09,0,6.49,1.80,0.63,0.97,0
Gross Margin (%),32.70,32.45,33.39,32.55,33.16,33.88,36.03,33.49,37.44,39.29
EBITDA Margin (%),27.66,29.58,26.82,26.75,32.28,35.30,33.87,35.07,37.99,37.42
Operating Margin (%),17.53,19.81,16.67,14.05,16.52,18.44,10.22,5.48,9.06,10.94
Incremental Operating Margin (%),-5.63,60.10,-94.49,7.51,-23.39,-49.39,-26.02,-16.58,42.94,51.15
Pretax Margin (%),13.59,16.42,15.72,9.80,11.26,13.11,4.00,2.12,5.69,-112.41
Profit Margin (%),8.12,10.59,9.58,6.15,14.55,10.04,2.88,1.26,3.00,-115.09
Net Income to Common Margin (%),8.12,10.59,9.58,6.15,14.55,10.04,2.88,1.26,3.00,-115.09
Effective Tax Rate (%),37.48,31.81,36.53,34.99,0,18.84,24.21,36.09,47.02,0
Dvd Payout Ratio (%),47.43,36.87,44.98,55.81,29.01,45.96,212.99,510.59,222.97,-6.82
Sustainable Growth Rate (%),11.64,16.82,11.92,7.87,24.14,10.58,-7.74,-17.04,-16.17,0
