,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),15.63,11.13,11.86,9.96,12.97,11.83,12.41,6.49,12.45,10.12
Return on Assets (%),1.46,1.10,1.22,1.10,1.54,1.52,1.59,0.76,1.33,1.17
Return on Capital (%),6.36,4.15,4.24,3.33,4.56,3.77,3.75,2.08,6.38,4.10
Return on Invested Capital (%),0,0,0,0,0,0,0,0,0,0
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
EBITDA Margin (%),7.62,7.00,6.91,7.33,4.95,5.29,5.75,6.57,4.47,5.26
Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Incremental Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Pretax Margin (%),39.04,34.31,37.05,33.42,40.20,40.62,39.03,23.99,45.10,37.29
Profit Margin (%),27.59,25.05,26.82,25.31,31.83,32.22,30.62,19.05,35.52,29.49
Net Income to Common Margin (%),27.04,23.92,25.65,24.10,30.74,31.12,29.49,17.66,34.09,28.09
Effective Tax Rate (%),29.72,26.87,27.86,24.46,20.82,20.69,21.55,20.59,21.24,20.92
Dvd Payout Ratio (%),22.09,29.83,25.97,25.59,20.29,23.14,27.28,56.99,29.56,34.81
Sustainable Growth Rate (%),12.17,7.81,8.78,7.41,10.34,9.09,9.02,2.79,8.77,6.60
