,2020,2021,2022,2023
Price/Earnings,0,0,358.11,225.00
Price/Earnings Average,0,0,376.95,247.48
Price/Earnings High,0,0,391.49,288.14
Price/Earnings Low,0,0,358.11,211.12
Price/Book Value,0,0,170.16,116.85
Price/Book Value Average,0,0,179.12,128.52
Price/Book Value High,0,0,186.03,149.64
Price/Book Value Low,0,0,170.16,109.64
Price/Tangible Book Value,0,0,90.01,69.89
Price/Tangible Book Value Average,0,0,94.74,76.87
Price/Tangible Book Value High,0,0,98.40,89.50
Price/Tangible Book Value Low,0,0,90.01,65.58
Price/Sales,0,0,30.88,18.69
Price/Sales Average,0,0,32.51,20.56
Price/Sales High,0,0,33.76,23.94
Price/Sales Low,0,0,30.88,17.54
Price/Cash Flow,0,0,229.04,154.88
Price/Cash Flow Average,0,0,241.10,170.35
Price/Cash Flow High,0,0,250.39,198.34
Price/Cash Flow Low,0,0,229.04,145.32
Price/Free Cash Flow,0,0,198.34,129.24
Price/Free Cash Flow Average,0,0,208.78,142.15
Price/Free Cash Flow High,0,0,216.83,165.51
Price/Free Cash Flow Low,0,0,198.34,121.27
EV/Sales,0.28,0.16,30.19,18.02
EV/Sales Average,0.28,0.16,31.78,19.80
EV/Sales High,0.28,0.16,33.00,23.02
EV/Sales Low,0.28,0.16,30.19,16.92
EV/EBITDA,1.25,0.67,143.66,84.64
EV/EBITDA Average,1.25,0.67,151.19,93.00
EV/EBITDA High,1.25,0.67,156.99,108.12
EV/EBITDA Low,1.25,0.67,143.66,79.47
EV/EBIT,1.38,0.75,163.92,97.22
EV/EBIT Average,1.38,0.75,172.51,106.82
EV/EBIT High,1.38,0.75,179.13,124.20
EV/EBIT Low,1.38,0.75,163.92,91.29
Last Price,0,0,762.40,525.00
High Price,0,0,833.47,672.33
Low Price,0,0,762.40,492.62
Enterprise Value,3440,2067,421941,268718
Enterprise Value Average,3440,2067,444035,295263
Enterprise Value High,3440,2067,461074,343285
Enterprise Value Low,3440,2067,421941,252330
