,2020,2021,2022,2023
Shares Outstanding,605,576,551,506
Diluted Weighted Avg Shares,616,595,570,531
Basic Weighted Avg Shares,613,591,566,531
Revenue per Share,20.07,21.84,24.69,28.08
EBITDA per Share,4.49,5.19,5.19,5.98
Operating Income per Share,4.07,4.68,4.55,5.21
"Basic EPS, GAAP",1.63,3.64,2.13,2.33
Basic EPS from Cont Ops,1.73,3.72,2.18,2.36
"Diluted EPS, GAAP",1.62,3.61,2.11,2.33
Diluted EPS from Cont Ops,1.72,3.70,2.16,2.36
Dividend per Share,0.55,0.56,0.54,0.56
Cash Flow per Share,3.86,4.47,3.33,3.39
Free Cash Flow per Basic Share,3.27,3.65,2.79,2.72
Cash & Equivalents per Share,7.68,10.22,9.44,8.44
Book Value per Share,1.12,3.45,4.48,4.49
Tangible Book Value per Share,5.79,7.87,8.47,7.51
