,2016,2017,2018,2019,2020,2021,2022,2023
Accounts Receivable Turnover,0,11.72,5.76,5.99,6.38,6.59,6.72,6.93
Days Sales Outstanding,0,31.14,63.38,60.89,57.18,55.38,54.29,52.68
Inventory Turnover,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,0,0,0,0,0,0,0
Accounts Payable Turnover Days,0,0,0,0,0,0,0,0
Cash Conversion Cycle,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0
Inventories,0,1052,1180,1129,856,729,791,543
Raw Materials,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0
Finished Goods,0,1052,1180,1129,856,729,791,543
Other Inventory,0,0,0,0,0,0,0,0
