,2019,2020,2021,2022
Total Current Assets,537,1217,578,293
"+ Cash, Cash Equivalents & STI",127,798,162,86
+ Cash & Cash Equivalents,127,798,162,86
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,183,200,179,207
"+ Accounts Receivable, Net",153,160,169,198
"+ Notes Receivable, Net",30,40,10,9
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,227,219,237,0
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,6257,6391,7045,7941
"+ Property, Plant & Equip, Net",146,143,141,140
"+ Property, Plant & Equip",146,143,141,140
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,29,22,13,145
+ LT Investments,29,22,13,145
+ LT Receivables,0,0,0,0
+ Other LT Assets,6083,6225,6891,7656
+ Total Intangible Assets,0,0,0,0
+ Goodwill,0,0,0,0
+ Other Intangible Assets,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,6083,6225,6891,7656
Total Assets,6795,7608,7622,8234
+ Payables & Accruals,359,333,347,309
+ Accounts Payable,256,229,235,190
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,103,104,112,119
+ ST Debt,0,0,0,0
+ ST Borrowings,0,0,0,0
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,0,0,0,0
+ Deferred Revenue,158,152,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,-158,-152,0,0
Total Current Liabilities,359,333,347,309
+ LT Debt,3502,4436,4192,4475
+ LT Borrowings,3357,4291,4048,4329
+ LT Finance Leases,146,144,145,145
+ Other LT Liabilities,158,152,206,238
+ Accrued Liabilities,158,152,0,0
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,0,0,206,238
Total Noncurrent Liabilities,3660,4588,4398,4712
Total Liabilities,4019,4921,4745,5022
+ Preferred Equity and Hybrid Capital,160,160,160,160
+ Share Capital & APIC,3167,3298,3490,3823
+ Common Stock,1,1,1,1
+ Additional Paid in Capital,3167,3297,3489,3822
- Treasury Stock,0,0,0,0
+ Retained Earnings,-791,-988,-1067,-1034
+ Other Equity,-1,-6,-2,6
Equity Before Minority Interest,2535,2464,2581,2954
+ Minority/Non Controlling Interest,241,222,296,258
Total Equity,2776,2686,2877,3212
Total Liabilities & Equity,6795,7608,7622,8234
Shares Outstanding,76,77,79,81
Capital Leases - Total,146,144,145,145
Net Debt,3229,3493,3885,4244
Net Debt to Equity,116.33,130.02,135.06,132.11
Tangible Common Equity Ratio,38,33,36,37
Current Ratio,1.50,3.66,1.66,0.95
Cash Conversion Cycle,0,-236.28,-204.26,-155.37
Number of Employees,313,311,315,322
