,2019,2020,2021,2022
Total Debt,3502,4436,4192,4475
ST Debt,0,0,0,0
LT Debt,3502,4436,4192,4475
Total Debt/EBITDA,5.89,8.81,7.17,6.73
Net Debt/EBITDA,5.43,6.94,6.64,6.38
Total Debt/EBIT,9.88,17.84,13.76,12.34
Net Debt/EBIT,9.11,14.05,12.75,11.71
EBITDA to Interest Expense,5.42,3.70,4.58,4.85
EBITDA-CapEx/Interest Expense,1.68,0.01,1.13,1.81
EBIT to Interest Expense,3.23,1.82,2.39,2.65
Interest Expense,110,136,128,137
Common Equity/Total Assets,-11.63,-12.98,-13.99,-12.55
Long-Term Debt/Equity (%),126.17,165.12,145.72,139.30
Long-Term Debt/Capital (%),112.52,115.80,117.02,115.94
Long-Term Debt/Total Assets (%),51.54,58.31,55.00,54.35
Total Debt/Equity (%),126.17,165.12,145.72,139.30
Total Debt/Capital (%),112.52,115.80,117.02,115.94
Total Debt/Total Assets (%),51.54,58.31,55.00,54.35
Net Debt to Equity,116.33,130.02,135.06,132.11
Net Debt/Capital (%),108.18,115.19,113.60,112.45
EBITDA,594,504,585,665
EBITDA-CapEx,184,2,144,248
Operating Income (Loss),355,249,305,363
