,2019,2020,2021,2022
Cash Ratio,0.36,2.40,0.47,0.28
Current Ratio,1.50,3.66,1.66,0.95
Quick Ratio,0.87,3.00,0.98,0.95
CFO/Avg Current Liab,0,1.07,1.39,1.58
Common Equity/Total Assets,-11.63,-12.98,-13.99,-12.55
Long-Term Debt/Equity (%),126.17,165.12,145.72,139.30
Long-Term Debt/Capital (%),112.52,115.80,117.02,115.94
Long-Term Debt/Total Assets (%),51.54,58.31,55.00,54.35
Total Debt/Equity (%),126.17,165.12,145.72,139.30
Total Debt/Capital (%),112.52,115.80,117.02,115.94
Total Debt/Total Assets (%),51.54,58.31,55.00,54.35
CFO/Total Liabilities,11.49,7.52,9.93,10.29
CFO/CapEx,1.13,0.74,1.07,1.24
Altman's Z-Score,1.63,0.97,1.45,1.08
