,2019,2020,2021,2022
Shares Outstanding,76,77,79,81
Diluted Weighted Avg Shares,75,76,77,81
Basic Weighted Avg Shares,75,76,77,80
Revenue per Share,12.52,11.06,12.30,13.45
EBITDA per Share,7.95,6.67,7.56,8.33
Operating Income per Share,4.74,3.29,3.94,4.54
"Basic EPS, GAAP",4.63,1.64,3.28,4.73
Basic EPS from Cont Ops,4.82,1.80,3.48,4.95
"Diluted EPS, GAAP",4.63,1.64,3.28,4.69
Diluted EPS from Cont Ops,4.82,1.80,3.48,4.91
Dividend per Share,4.20,4.30,4.34,4.35
Cash Flow per Share,6.18,4.90,6.09,6.47
Free Cash Flow per Basic Share,0.70,-1.75,0.40,1.25
Cash & Equivalents per Share,1.69,10.40,2.06,1.05
Book Value per Share,-10.46,-12.87,-13.56,-12.70
Tangible Book Value per Share,34.63,32.93,34.56,37.53
