,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.83,3.43,4.86
Return on Capital (%),0,7.60,10.30,13.77
Return on Invested Capital (%),0,3.71,4.30,4.91
Gross Margin (%),68.07,65.27,66.71,66.79
EBITDA Margin (%),63.51,60.28,61.47,61.89
Operating Margin (%),37.88,29.76,32.04,33.75
Incremental Operating Margin (%),0,105.58,48.52,46.91
Pretax Margin (%),38.53,16.26,28.29,36.83
Profit Margin (%),37.81,15.76,27.49,35.88
Net Income to Common Margin (%),36.96,14.80,26.65,35.13
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),85.09,239.76,121.96,85.28
Sustainable Growth Rate (%),0,0,0,0
