,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,0,0,0,0,0,0,988,990
ST Debt,0,0,0,0,0,0,0,0,0,0
LT Debt,0,0,0,0,0,0,0,0,988,990
Total Debt/EBITDA,0,0,0,0,0,0,0,0,1.35,0.93
Net Debt/EBITDA,-1.32,-3.48,-10.05,-7.43,-4.90,-3.88,-3.01,-1.89,-0.45,-0.65
Total Debt/EBIT,0,0,0,0,0,0,0,0,1.53,1.03
Net Debt/EBIT,-1.61,-4.77,-24.17,-15.10,-7.36,-4.82,-3.55,-2.16,-0.51,-0.72
EBITDA to Interest Expense,0,0,0,0,0,0,0,0,49.01,59.41
EBITDA-CapEx/Interest Expense,0,0,0,0,0,0,0,0,29.15,43.78
EBIT to Interest Expense,0,0,0,0,0,0,0,0,43.34,53.61
Interest Expense,0,0,0,0,0,0,0,0,15,18
Common Equity/Total Assets,10.47,7.99,3.83,1.77,-14.15,-1.86,3.62,-8.70,-7.90,-24.82
Long-Term Debt/Equity (%),0,0,0,0,0,0,0,0,123.80,0
Long-Term Debt/Capital (%),0,0,0,0,0,0,0,0,183.92,-178.39
Long-Term Debt/Total Assets (%),0,0,0,0,0,0,0,0,16.70,15.90
Total Debt/Equity (%),0,0,0,0,0,0,0,0,123.80,-351.70
Total Debt/Capital (%),0,0,0,0,0,0,0,0,183.92,-178.39
Total Debt/Total Assets (%),0,0,0,0,0,0,0,0,16.70,15.90
Net Debt to Equity,-19.78,-41.90,-71.92,-84.64,-137.60,-110.12,-92.48,-124.04,-41.42,245.92
Net Debt/Capital (%),-1883.81,167.17,114.46,105.63,71.74,95.10,112.99,75.11,42.31,30.94
EBITDA,88,81,54,95,166,287,406,560,730,1069
EBITDA-CapEx,74,49,17,28,30,234,314,435,434,788
Operating Income (Loss),72,59,22,47,110,231,344,492,646,965
