,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,3053,5160,5390,5213,7335,11944,18363,24053,58284,38208
- Cash & Cash Equivalents,116,283,543,709,811,1112,1223,1062,1319,1683
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,17,0
+ Total Debt,0,0,0,0,0,0,0,0,988,990
Enterprise Value,2562,4440,4499,4128,6084,10294,16298,22216,56738,36987
Total Capital,122,114,69,38,-319,-57,141,-352,537,-555
Total Debt/Capital (%),0,0,0,0,0,0,0,0,183.92,-178.39
Total Debt / EV,0,0,0,0,0,0,0,0,0.02,0.03
EV/Sales,4.16,5.76,4.46,3.24,4.07,5.72,7.56,8.56,16.98,8.37
EV/EBITDA,29.20,54.57,83.22,43.24,36.73,35.91,40.16,39.64,77.70,34.59
EV/EBIT,35.53,74.84,200.17,87.93,55.24,44.56,47.35,45.19,87.86,38.33
EV/Cash Flow to Firm,17.38,22.58,15.92,11.94,10.24,16.11,20.17,20.50,37.47,21.16
EV/Free Cash Flow to Firm,15.89,19.41,14.06,10.00,8.34,14.88,18.10,18.37,31.34,18.23
Diluted Market Cap,3179,5248,5540,5310,7780,12253,18716,24817,60105,39371
Diluted Enterprise Value,3063,4965,4996,4601,6969,11141,17494,23755,59791,38679
EV per Share,3.17,5.33,5.25,4.77,7.25,12.13,18.98,27.34,70.05,47.33
TTM Sales,615,770,1009,1275,1495,1801,2156,2594,3342,4417
TTM EBITDA,88,81,54,95,166,287,406,560,730,1069
TTM Operating Income,72,59,22,47,110,231,344,492,646,965
TTM Cash Flow to Firm,147,197,283,346,594,639,808,1084,1514,1748
TTM Free Cash Flow to Firm,161,229,320,413,730,692,900,1210,1810,2029
