,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.17,4.89,4.54,4.46,4.52,4.54,4.36,4.10,4.38,4.27
Days Sales Outstanding,70.63,74.67,80.34,81.93,80.72,80.32,83.69,88.94,83.42,85.49
Inventory Turnover,5.18,3.91,3.74,3.54,4.18,5.38,4.87,4.42,4.96,4.93
Days Inventory Outstanding,70.45,93.34,97.59,103.05,87.24,67.79,75.00,82.51,73.56,74.08
Accounts Payable Turnover,7.81,6.11,5.40,6.10,5.61,5.92,5.84,4.97,5.65,5.99
Accounts Payable Turnover Days,46.76,59.79,67.53,59.79,65.03,61.64,62.50,73.38,64.62,60.92
Cash Conversion Cycle,94.31,108.23,110.39,125.18,102.93,86.46,96.19,98.06,92.36,98.66
Inventory to Cash Days,0.18,-18.67,-17.25,-21.12,-6.52,12.53,8.69,6.43,9.86,11.41
Inventories,49,69,84,107,77,90,118,140,176,265
Raw Materials,4,11,15,19,13,13,10,14,40,46
Work In Process,0,0,0,0,0,0,0,0,10,12
Finished Goods,40,59,68,88,64,77,108,126,126,206
Other Inventory,4,0,0,0,0,0,0,0,0,0
