,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,1258,1257,1172,1093,1085,1088,1092,1096,1099,1089
Diluted Weighted Avg Shares,1286,1265,1252,1141,1080,1086,1091,1095,1098,1096
Basic Weighted Avg Shares,1278,1256,1243,1128,1080,1086,1091,1094,1098,1096
Revenue per Share,111.94,117.72,92.65,106.09,111.52,111.95,87.27,72.78,67.57,53.01
EBITDA per Share,30.29,57.79,17.47,20.24,15.75,17.54,12.41,6.98,8.29,2.90
Operating Income per Share,22.65,50.40,13.57,15.81,11.00,9.97,7.28,1.48,5.55,0.25
"Basic EPS, GAAP",11.00,12.13,-4.94,7.25,-5.76,-20.99,-4.99,4.78,-6.15,0.05
Basic EPS from Cont Ops,12.11,12.31,1.37,8.42,-5.32,-19.07,0.39,5.18,-3.09,-0.73
"Diluted EPS, GAAP",10.93,12.04,-4.91,7.16,-5.76,-20.99,-4.99,4.78,-6.15,0.05
Diluted EPS from Cont Ops,12.03,12.22,1.36,8.32,-5.32,-19.07,0.39,5.18,-3.09,-0.73
Dividend per Share,6.12,7.05,7.48,7.81,8.01,4.12,0.59,0.59,0.52,0.58
Cash Flow per Share,22.37,22.07,16.00,-0.22,9.65,3.91,8.04,3.29,3.03,5.40
Free Cash Flow per Basic Share,11.83,11.14,10.12,-6.60,2.32,-3.51,2.45,0.18,1.80,4.33
Cash & Equivalents per Share,140.33,147.96,114.70,125.10,75.57,94.44,122.15,40.11,25.54,21.50
Book Value per Share,119.08,124.12,120.03,128.32,116.48,86.24,80.96,84.83,77.45,76.21
Tangible Book Value per Share,36.34,36.75,15.43,-8.61,-20.52,-24.18,-6.96,1.62,5.54,14.51
