,2019,2020,2021,2022
Total Debt,0,468,437,8249
ST Debt,0,132,110,15
LT Debt,0,336,327,8234
Total Debt/EBITDA,0,0.14,0.13,2.61
Net Debt/EBITDA,0,-0.29,-0.15,2.16
Total Debt/EBIT,0,0.17,0.16,3.27
Net Debt/EBIT,0,-0.35,-0.18,2.70
EBITDA to Interest Expense,31.63,50.76,85.50,40.97
EBITDA-CapEx/Interest Expense,27.86,46.83,79.30,36.95
EBIT to Interest Expense,24.14,41.21,69.88,32.75
Interest Expense,88,66,40,77
Common Equity/Total Assets,0,64.25,67.25,40.80
Long-Term Debt/Equity (%),0,2.28,1.96,87.95
Long-Term Debt/Capital (%),0,2.09,1.80,42.25
Long-Term Debt/Total Assets (%),0,1.39,1.24,29.90
Total Debt/Equity (%),0,3.17,2.62,88.11
Total Debt/Capital (%),0,2.91,2.41,42.33
Total Debt/Total Assets (%),0,1.93,1.66,29.95
Net Debt to Equity,0,-6.50,-3.10,72.68
Net Debt/Capital (%),0,-6.37,-2.94,37.71
EBITDA,2783,3350,3420,3155
EBITDA-CapEx,2452,3091,3172,2845
Operating Income (Loss),2124,2720,2795,2522
