,2019,2020,2021,2022
Cash Ratio,0,0.15,0.08,0.20
Current Ratio,0,0.90,1.04,1.16
Quick Ratio,0,0.56,0.64,0.80
CFO/Avg Current Liab,0,0.52,0.24,0.30
Common Equity/Total Assets,0,64.25,67.25,40.80
Long-Term Debt/Equity (%),0,2.28,1.96,87.95
Long-Term Debt/Capital (%),0,2.09,1.80,42.25
Long-Term Debt/Total Assets (%),0,1.39,1.24,29.90
Total Debt/Equity (%),0,3.17,2.62,88.11
Total Debt/Capital (%),0,2.91,2.41,42.33
Total Debt/Total Assets (%),0,1.93,1.66,29.95
CFO/Total Liabilities,0,17.80,16.68,11.62
CFO/CapEx,6.01,6.51,6.48,6.82
Altman's Z-Score,0,2.36,2.34,3.00
