,2019,2020,2021,2022
Price/Earnings,0,0,0,13.83
Price/Earnings Average,0,0,0,13.65
Price/Earnings High,0,0,0,15.71
Price/Earnings Low,0,0,0,12.56
Price/Book Value,0,0,0,2.36
Price/Book Value Average,0,0,0,2.33
Price/Book Value High,0,0,0,2.68
Price/Book Value Low,0,0,0,2.14
Price/Tangible Book Value,0,0,0,-5.33
Price/Tangible Book Value Average,0,0,0,-5.26
Price/Tangible Book Value High,0,0,0,-6.05
Price/Tangible Book Value Low,0,0,0,-4.84
Price/Sales,0,0,0,1.45
Price/Sales Average,0,0,0,1.43
Price/Sales High,0,0,0,1.64
Price/Sales Low,0,0,0,1.31
Price/Cash Flow,0,0,0,12.54
Price/Cash Flow Average,0,0,0,12.38
Price/Cash Flow High,0,0,0,14.24
Price/Cash Flow Low,0,0,0,11.39
Price/Free Cash Flow,0,0,0,10.94
Price/Free Cash Flow Average,0,0,0,10.80
Price/Free Cash Flow High,0,0,0,12.42
Price/Free Cash Flow Low,0,0,0,9.93
EV/Sales,0,0,0,1.82
EV/Sales Average,0,0,0,1.80
EV/Sales High,0,0,0,2.01
EV/Sales Low,0,0,0,1.68
EV/EBITDA,0,0,0,10.56
EV/EBITDA Average,0,-0.15,-0.03,10.45
EV/EBITDA High,0,-0.15,-0.03,11.70
EV/EBITDA Low,0,-0.15,-0.03,9.78
EV/EBIT,0,0,0,13.21
EV/EBIT Average,0,-0.18,-0.03,13.07
EV/EBIT High,0,-0.18,-0.03,14.63
EV/EBIT Low,0,-0.18,-0.03,12.24
Last Price,0,0,0,58.38
High Price,0,0,0,66.28
Low Price,0,0,0,53.00
Enterprise Value,0,-502,-96,33314
Enterprise Value Average,0,-502,-96,32969
Enterprise Value High,0,-502,-96,36900
Enterprise Value Low,0,-502,-96,30871
