,2019,2020,2021,2022
Shares Outstanding,455,455,455,454
Diluted Weighted Avg Shares,455,455,455,454
Basic Weighted Avg Shares,455,455,455,454
Revenue per Share,36.58,37.75,38.67,40.40
EBITDA per Share,6.12,7.37,7.52,6.95
Operating Income per Share,4.67,5.98,6.15,5.55
"Basic EPS, GAAP",3.35,30.45,4.94,4.22
Basic EPS from Cont Ops,3.70,4.53,5.00,4.29
"Diluted EPS, GAAP",3.35,30.45,4.94,4.22
Diluted EPS from Cont Ops,3.70,4.53,5.00,4.29
Dividend per Share,0,0,0,0
Cash Flow per Share,4.37,3.71,3.53,4.65
Free Cash Flow per Basic Share,3.65,3.14,2.99,3.97
Cash & Equivalents per Share,0,2.19,1.22,3.18
Book Value per Share,0,34.23,38.91,24.75
Tangible Book Value per Share,0,2.81,4.26,-10.95
