,2019,2020,2021,2022
Return on Common Equity (%),0,177.90,13.51,13.25
Return on Assets (%),0,114.30,8.89,7.12
Return on Capital (%),0,172.44,13.05,10.23
Return on Invested Capital (%),0,27.14,13.68,11.27
Gross Margin (%),39.37,39.43,40.80,39.14
EBITDA Margin (%),16.73,19.52,19.45,17.20
Operating Margin (%),12.77,15.85,15.89,13.75
Incremental Operating Margin (%),0,112.24,17.81,-36.11
Pretax Margin (%),12.57,15.79,16.35,13.70
Profit Margin (%),9.16,80.67,12.78,10.45
Net Income to Common Margin (%),9.16,80.67,12.78,10.45
Effective Tax Rate (%),19.61,24.06,20.87,22.41
Dvd Payout Ratio (%),0,0,0,0
Sustainable Growth Rate (%),0,177.90,13.51,13.25
