,2019,2020,2021,2022
Accounts Receivable Turnover,0,21.33,7.58,5.80
Days Sales Outstanding,0,17.11,48.12,62.92
Inventory Turnover,0,13.05,5.88,5.44
Days Inventory Outstanding,0,27.98,62.05,67.05
Accounts Payable Turnover,0,11.09,4.58,4.15
Accounts Payable Turnover Days,0,32.91,79.73,88.02
Cash Conversion Cycle,0,12.18,30.45,41.95
Inventory to Cash Days,0,-10.87,-13.93,-4.14
Inventories,0,1594,1946,2155
Raw Materials,0,726,900,1053
Work In Process,0,62,104,91
Finished Goods,0,806,942,1011
Other Inventory,0,0,0,0
