,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,37.33,11.98,8.26,7.10,20.23,14.72,15.31,578.94,14.80,23.46
Price/Earnings Average,27.83,11.26,8.61,8.29,20.43,17.58,15.49,703.76,13.64,18.32
Price/Earnings High,37.84,14.69,9.97,10.23,24.36,21.31,16.62,878.57,14.95,24.53
Price/Earnings Low,18.36,7.99,6.95,7.02,18.01,14.35,14.36,578.02,11.69,15.62
Price/Book Value,18.86,11.22,8.07,5.17,4.93,4.17,4.24,4.94,5.64,6.82
Price/Book Value Average,14.07,10.54,8.42,6.03,4.98,4.98,4.29,6.00,5.19,5.33
Price/Book Value High,19.12,13.75,9.75,7.44,5.93,6.03,4.60,7.50,5.69,7.13
Price/Book Value Low,9.28,7.47,6.79,5.11,4.39,4.06,3.98,4.93,4.45,4.54
Price/Tangible Book Value,-86.97,39.96,18.88,10.17,-123.62,47.25,17.32,-3.09,-4.44,-6.69
Price/Tangible Book Value Average,-64.85,37.56,19.69,11.88,-124.80,56.40,17.52,-3.75,-4.09,-5.23
Price/Tangible Book Value High,-88.16,49.00,22.80,14.65,-148.87,68.37,18.80,-4.68,-4.49,-6.99
Price/Tangible Book Value Low,-42.78,26.63,15.89,10.06,-110.02,46.06,16.24,-3.08,-3.51,-4.46
Price/Sales,10.25,5.83,4.58,3.16,3.59,3.63,3.67,2.88,3.37,3.95
Price/Sales Average,7.64,5.48,4.78,3.68,3.62,4.33,3.72,3.51,3.11,3.08
Price/Sales High,10.39,7.14,5.53,4.54,4.32,5.25,3.99,4.38,3.41,4.13
Price/Sales Low,5.04,3.88,3.86,3.12,3.19,3.54,3.44,2.88,2.66,2.63
Price/Cash Flow,36.96,11.31,7.36,5.75,7.87,9.56,9.02,8.72,8.09,11.88
Price/Cash Flow Average,27.56,10.63,7.67,6.71,7.94,11.41,9.12,10.60,7.46,9.27
Price/Cash Flow High,37.47,13.87,8.88,8.28,9.48,13.84,9.79,13.23,8.18,12.41
Price/Cash Flow Low,18.18,7.54,6.19,5.69,7.00,9.32,8.46,8.70,6.39,7.91
Price/Free Cash Flow,38.62,11.73,7.37,5.58,7.57,8.68,8.32,8.11,7.74,11.06
Price/Free Cash Flow Average,28.80,11.03,7.69,6.52,7.64,10.36,8.41,9.86,7.13,8.63
Price/Free Cash Flow High,39.15,14.39,8.90,8.04,9.11,12.56,9.03,12.31,7.82,11.56
Price/Free Cash Flow Low,19.00,7.82,6.21,5.52,6.73,8.46,7.80,8.10,6.11,7.36
EV/Sales,10.49,5.83,4.67,3.58,3.90,3.47,3.68,3.85,4.11,4.61
EV/Sales Average,7.87,5.49,4.92,4.21,4.62,4.71,4.29,4.53,3.89,3.79
EV/Sales High,10.63,7.13,5.65,5.06,5.32,5.62,4.56,5.40,4.19,4.83
EV/Sales Low,5.26,3.92,4.02,3.67,4.19,3.93,4.02,3.90,3.44,3.34
EV/EBITDA,24.12,8.89,6.55,5.79,6.61,7.97,14.51,8.33,9.24,9.63
EV/EBITDA Average,18.11,8.37,6.89,6.82,7.83,10.82,16.91,9.80,8.74,7.91
EV/EBITDA High,24.45,10.88,7.92,8.18,9.01,12.91,17.98,11.68,9.41,10.07
EV/EBITDA Low,12.11,5.98,5.63,5.93,7.10,9.02,15.84,8.45,7.74,6.96
EV/EBIT,25.96,9.50,6.87,6.17,7.21,9.35,19.26,9.58,11.11,11.47
EV/EBIT Average,19.49,8.95,7.23,7.26,8.54,12.71,22.45,11.26,10.51,9.42
EV/EBIT High,26.32,11.62,8.31,8.71,9.83,15.16,23.87,13.42,11.32,12.00
EV/EBIT Low,13.03,6.39,5.91,6.32,7.75,10.59,21.03,9.71,9.31,8.30
Last Price,75.08,95.28,102.16,71.61,71.64,61.88,64.93,56.65,73.36,85.85
High Price,76.11,116.83,123.37,103.10,86.27,89.54,70.50,85.97,74.12,89.74
Low Price,36.94,63.50,86.00,70.83,63.76,60.32,60.89,56.56,57.93,57.17
Enterprise Value,117450,145026,152441,108736,101796,76710,82567,95052,112163,125869
Enterprise Value Average,88169,136553,160441,128084,120614,104230,96236,111780,106143,103383
Enterprise Value High,119049,177430,184357,153654,138854,124319,102340,133230,114298,131693
Enterprise Value Low,58939,97489,131217,111380,109411,86859,90174,96350,93996,91078
