,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7006,7041,7047,8706,10395,8175,11331,9675,9373,11662
- Cash & Cash Equivalents,37,66,61,76,119,121,76,95,92,93
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,1220,1231,1234,1398,1460,1665,1648,1923,2026,2077
Enterprise Value,-4767,-6303,-5593,-5290,-5360,-6643,-6043,-9818,-10067,-2971
Total Capital,4867,4742,4978,5416,6391,7000,7316,7910,8317,8648
Total Debt/Capital (%),25.07,25.95,24.78,25.81,22.85,23.79,22.52,24.31,24.36,24.02
Total Debt / EV,-0.26,-0.20,-0.22,-0.26,-0.27,-0.25,-0.27,-0.20,-0.20,-0.70
EV/Sales,0,0,0,0,0,0,0,0,0,0
EV/EBITDA,0,0,0,0,0,0,0,0,0,0
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/Cash Flow to Firm,0,0,0,0,0,0,0,0,0,0
EV/Free Cash Flow to Firm,0,0,0,0,0,0,0,0,0,0
Diluted Market Cap,7283,7301,7300,9026,10793,8511,11716,9994,9712,11933
Diluted Enterprise Value,8466,8465,8472,10347,12135,10055,13288,11822,11646,13917
EV per Share,0,0,0,0,0,0,0,0,0,0
TTM Sales,3772,3965,3766,3934,4156,4304,4528,4738,5113,5215
TTM EBITDA,0,0,0,0,0,0,0,0,0,0
TTM Operating Income,0,0,0,0,0,0,0,0,0,0
TTM Cash Flow to Firm,1175,918,1172,1457,1578,1351,1433,1547,1506,1496
TTM Free Cash Flow to Firm,1186,937,1209,1482,1599,1396,1475,1589,1544,1524
