,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,13.59,13.25,13.67,16.09,7.26,11.89,15.10,13.51,12.90,15.96
Price/Earnings Average,11.49,12.75,13.55,13.27,6.32,13.77,12.91,12.27,13.15,13.71
Price/Earnings High,13.79,13.60,15.01,16.38,7.30,15.07,15.40,16.15,14.83,16.17
Price/Earnings Low,8.97,11.52,11.81,10.58,5.81,11.22,10.55,8.22,11.68,11.63
Price/Book Value,1.92,2.01,1.88,2.17,2.11,1.53,2.00,1.62,1.49,1.77
Price/Book Value Average,1.62,1.93,1.87,1.79,1.83,1.77,1.71,1.47,1.52,1.52
Price/Book Value High,1.95,2.06,2.07,2.21,2.12,1.94,2.04,1.93,1.71,1.80
Price/Book Value Low,1.27,1.74,1.63,1.42,1.69,1.45,1.40,0.98,1.35,1.29
Price/Tangible Book Value,2.10,1.65,1.95,2.11,1.80,1.64,1.65,1.16,1.15,2.64
Price/Tangible Book Value Average,1.78,1.59,1.93,1.74,1.56,1.90,1.41,1.06,1.17,2.27
Price/Tangible Book Value High,2.13,1.70,2.14,2.15,1.81,2.08,1.69,1.39,1.32,2.68
Price/Tangible Book Value Low,1.39,1.44,1.69,1.39,1.44,1.55,1.16,0.71,1.04,1.93
Price/Sales,1.90,1.81,1.91,2.25,2.54,1.94,2.54,2.09,1.88,2.26
Price/Sales Average,1.61,1.75,1.90,1.86,2.21,2.24,2.17,1.90,1.92,1.94
Price/Sales High,1.93,1.86,2.10,2.29,2.56,2.45,2.59,2.49,2.16,2.29
Price/Sales Low,1.26,1.58,1.65,1.48,2.03,1.83,1.77,1.27,1.70,1.65
Price/Cash Flow,6.42,8.32,6.43,6.33,7.38,6.52,8.42,6.70,6.68,8.30
Price/Cash Flow Average,5.42,8.01,6.38,5.22,6.43,7.55,7.20,6.08,6.82,7.13
Price/Cash Flow High,6.51,8.54,7.07,6.44,7.43,8.27,8.59,8.01,7.68,8.41
Price/Cash Flow Low,4.23,7.23,5.56,4.16,5.91,6.16,5.89,4.08,6.05,6.05
Price/Free Cash Flow,6.44,8.26,6.31,6.34,7.45,6.43,8.33,6.58,6.58,8.23
Price/Free Cash Flow Average,5.45,7.95,6.25,5.23,6.48,7.45,7.12,5.98,6.71,7.07
Price/Free Cash Flow High,6.54,8.48,6.93,6.45,7.49,8.16,8.50,7.87,7.56,8.34
Price/Free Cash Flow Low,4.25,7.18,5.45,4.17,5.96,6.07,5.82,4.01,5.96,6.00
EV/Sales,0,0,0,0,0,0,0,0,0,0
EV/Sales Average,1.88,2.00,2.17,2.16,2.50,2.56,2.49,2.24,2.25,2.30
EV/Sales High,2.20,2.12,2.37,2.59,2.84,2.77,2.90,2.83,2.49,2.65
EV/Sales Low,1.54,1.84,1.93,1.79,2.32,2.15,2.10,1.63,2.04,2.01
EV/EBITDA,0,0,0,0,0,0,0,0,0,0
EV/EBITDA Average,0,0,0,0,0,0,0,0,0,0
EV/EBITDA High,0,0,0,0,0,0,0,0,0,0
EV/EBITDA Low,0,0,0,0,0,0,0,0,0,0
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/EBIT Average,0,0,0,0,0,0,0,0,0,0
EV/EBIT High,0,0,0,0,0,0,0,0,0,0
EV/EBIT Low,0,0,0,0,0,0,0,0,0,0
Last Price,52.19,55.04,57.59,73.76,90.71,73.85,105.19,93.21,94.14,120.55
High Price,52.95,56.49,63.26,75.07,91.29,93.60,107.28,111.43,108.22,122.12
Low Price,34.42,47.83,49.77,48.47,72.59,69.68,73.52,56.74,85.25,87.87
Enterprise Value,-4767,-6303,-5593,-5290,-5360,-6643,-6043,-9818,-10067,-2971
Enterprise Value Average,7105,7941,8159,8502,10388,11008,11258,10617,11494,12001
Enterprise Value High,8291,8391,8914,10182,11803,11905,13128,13394,12709,13798
Enterprise Value Low,5804,7283,7263,7042,9660,9257,9491,7717,10422,10485
