,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,14078,15342,15280,15340,16309,18735,17522,16537,18871,22096
+ Sales & Services Revenue,14078,15342,15280,15340,16309,18735,17522,16537,18871,22096
- Cost of Revenue,9858,10748,10724,10740,11402,12751,11663,10883,12236,14356
+ Cost of Goods & Services,9858,10748,10724,10740,11402,12751,11663,10883,12236,14356
Gross Profit,4220,4594,4556,4600,4906,5984,5860,5655,6634,7740
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,3176,3476,3432,3525,3897,4874,4849,4683,5471,6126
"+ Selling, General & Admin",3042,3328,3290,3378,3729,4615,4578,4387,5163,5758
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,134,148,142,147,168,259,271,296,309,368
Operating Income (Loss),1044,1118,1124,1074,1009,1110,1011,972,1163,1614
- Non-Operating (Income) Loss,0,0,0,0,0,34,152,592,-37,42
"+ Interest Expense, Net",27,25,22,21,41,102,96,94,62,74
+ Interest Expense,27,25,22,21,41,102,96,94,62,74
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,-27,-25,-22,-21,-41,-68,56,499,-100,-32
Pretax Income,1044,1118,1124,1074,1009,1076,859,379,1200,1573
- Income Tax Expense (Benefit),359,406,418,387,393,265,213,216,302,390
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,685,711,706,687,617,810,646,163,899,1183
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,25,192,0,0
+ Discontinued Operations,0,0,0,0,0,61,-25,-192,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,-61,51,385,0,0
Income (Loss) Incl. MI,685,711,706,687,617,810,621,-29,899,1183
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",685,711,706,687,617,810,621,-29,899,1183
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",685,711,706,687,617,810,621,-29,899,1183
Basic Weighted Avg Shares,155,153,152,149,147,147,146,144,143,141
"Basic EPS, GAAP",4.43,4.64,4.65,4.61,4.19,5.53,4.26,-0.20,6.27,8.36
Basic EPS from Cont Ops,4.43,4.64,4.65,4.61,4.19,5.53,4.44,1.13,6.27,8.36
Diluted Weighted Avg Shares,156,154,152,150,148,147,146,145,144,142
"Diluted EPS, GAAP",4.40,4.61,4.63,4.59,4.18,5.50,4.24,-0.20,6.23,8.31
Diluted EPS from Cont Ops,4.40,4.61,4.63,4.59,4.18,5.50,4.42,1.13,6.23,8.31
EBITDA,1178,1266,1265,1222,1177,1351,1268,1245,1454,1962
EBITDA Margin (%),8.37,8.25,8.28,7.97,7.22,7.21,7.24,7.53,7.70,8.88
EBITA,1044,1118,1124,1074,1009,1110,1011,972,1163,1614
EBIT,1044,1118,1124,1074,1009,1110,1011,972,1163,1614
Gross Margin (%),29.98,29.94,29.82,29.98,30.08,31.94,33.44,34.19,35.16,35.03
Operating Margin (%),7.42,7.29,7.35,7.00,6.19,5.92,5.77,5.88,6.16,7.31
Profit Margin (%),4.87,4.64,4.62,4.48,3.78,4.33,3.54,-0.18,4.76,5.35
Sales per Employee,375409,393376,385860,383493,339767,374701,318586,330749,362894,380965
Dividend per Share,2.11,2.27,2.43,2.60,2.69,2.84,3.01,3.14,3.25,3.51
Depreciation Expense,134,148,142,147,168,242,257,273,291,348
