,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1151,1834,2335,4894,5295,5831,9589,9652,11978,14206
ST Debt,260,458,655,514,735,816,498,1186,563,1916
LT Debt,891,1376,1680,4380,4559,5015,9090,8466,11415,12289
Total Debt/EBITDA,2.45,3.48,3.93,7.99,5.24,4.63,5.74,3.85,3.93,4.26
Net Debt/EBITDA,1.00,2.37,2.84,6.28,3.92,3.67,4.74,3.07,3.28,3.66
Total Debt/EBIT,3.22,4.52,5.11,11.52,9.47,7.91,12.12,10.80,8.81,8.49
Net Debt/EBIT,1.32,3.09,3.69,9.06,7.08,6.27,10.00,8.62,7.36,7.30
EBITDA to Interest Expense,14.09,12.62,13.37,8.84,5.78,6.44,5.48,7.30,9.14,7.42
EBITDA-CapEx/Interest Expense,11.13,10.67,11.29,7.52,4.74,5.35,4.47,6.03,7.66,6.05
EBIT to Interest Expense,10.73,9.70,10.28,6.13,3.20,3.77,2.60,2.60,4.07,3.72
Interest Expense,33,42,44,69,175,196,305,344,334,449
Common Equity/Total Assets,30.68,20.30,13.73,9.67,12.29,15.62,5.25,5.82,6.59,6.10
Long-Term Debt/Equity (%),69.26,121.47,194.55,152.21,114.98,119.80,32.40,30.80,44.12,54.52
Long-Term Debt/Capital (%),39.60,49.40,51.92,72.51,64.55,61.98,75.00,68.40,75.09,71.56
Long-Term Debt/Total Assets (%),28.52,34.24,29.00,41.67,35.08,37.91,20.44,19.15,25.21,27.43
Total Debt/Equity (%),89.45,161.88,270.41,170.07,133.53,139.28,34.18,35.12,46.30,63.02
Total Debt/Capital (%),51.15,65.84,72.16,81.02,74.96,72.05,79.11,77.98,78.80,82.72
Total Debt/Total Assets (%),36.83,45.63,40.31,46.56,40.74,44.07,21.56,21.84,26.45,31.70
Net Debt to Equity,36.57,110.52,195.05,133.77,99.84,110.36,28.20,28.04,38.65,54.16
Net Debt/Capital (%),29.97,56.82,65.16,77.05,69.12,67.14,75.75,73.87,75.62,80.44
EBITDA,469,528,594,613,1010,1260,1670,2508,3050,3335
EBITDA-CapEx,370,446,502,521,828,1047,1362,2072,2557,2719
Operating Income (Loss),357,405,457,425,559,737,791,894,1359,1672
