,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,284,413,447,533,397,220,520,225,435,203
+ Depreciation & Amortization,229,205,198,190,208,212,266,652,909,788
+ Non-Cash Items,2,0,35,94,124,115,70,159,295,260
+ Stock-Based Compensation,21,36,54,62,56,28,28,50,98,83
+ Deferred Income Taxes,-19,-10,-19,-1,112,-11,-15,30,36,-130
+ Asset Impairment Charge,0,0,0,33,0,118,0,72,0,281
+ Other Non-Cash Adj,0,-27,0,0,-44,-19,57,7,161,25
+ Chg in Non-Cash Work Cap,-114,-163,-127,-42,-4,98,-204,-60,-821,-878
+ (Inc) Dec in Accts Receiv,-87,-112,-228,-150,-50,180,-211,211,-159,340
+ (Inc) Dec in Inventories,-38,-29,-99,-12,-25,-37,-5,63,-174,-139
+ (Inc) Dec in Prepaid Assets,-5,31,83,7,24,-12,18,-7,-31,17
+ Inc (Dec) in Accts Payable,140,-1,150,204,-80,107,62,49,313,-279
+ Inc (Dec) in Other,-125,-52,-33,-92,128,-140,-68,-376,-770,-816
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,401,454,552,775,724,646,653,976,818,373
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-112,-113,-142,-155,-135,-140,-134,-126,-133,-174
+ Acq of Fixed Prod Assets,-112,-113,-142,-155,-135,-140,-134,-126,-133,-174
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,-111,0,0,-12,0,-155,71,-4413,0,-146
+ Dec in LT Investment,0,0,0,0,0,0,80,0,0,0
+ Inc in LT Investment,-111,0,0,-12,0,-155,-9,-4413,0,-146
+ Net Cash From Acq & Div,-111,64,0,-12,0,-155,-9,-4413,379,0
+ Cash from Divestitures,0,64,0,0,0,0,0,0,379,0
+ Cash for Acq of Subs,-111,0,0,-12,0,-155,-9,-4413,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,116,49,38,41,3,165,10,4451,-4,8
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-218,0,-104,-138,-131,-286,-61,-4500,242,-313
+ Dividends Paid,-156,-217,-226,-249,-277,-309,-337,-373,-374,-385
+ Net Cash From Debt,-431,516,-87,18,269,-142,4701,829,-1082,-202
+ Cash From Debt,0,1366,0,18,988,0,4710,1113,144,4
+ Repayments of Debt,-431,-850,-87,0,-718,-142,-9,-284,-1226,-206
+ Cash (Repurchase) of Equity,-103,-460,-87,-150,-151,-250,914,-47,0,-125
+ Increase in Capital Stock,0,0,0,0,0,0,975,0,0,0
+ Decrease in Capital Stock,-103,-460,-87,-150,-151,-250,-61,-47,0,-125
+ Other Financing Activities,349,-71,54,48,-153,-35,-2468,-3,-4,159
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-341,-231,-346,-333,-312,-737,2811,406,-1460,-553
Effect of Foreign Exchange Rates,-10,-12,-19,2,18,-21,-5,-13,-31,-13
Net Changes in Cash,-158,223,102,303,281,-378,3403,-3118,-400,-493
EBITDA,696,840,890,978,1018,543,918,1372,1781,1218
EBITDA Margin (%),17.04,19.65,20.00,19.49,19.54,11.85,19.46,25.11,27.74,20.79
Net Cash Paid for Acquisitions,111,-64,0,12,0,155,9,4413,-378,0
Free Cash Flow,289,341,410,620,590,506,519,851,685,199
Free Cash Flow to Firm,374,412,482,695,639,580,609,991,820,331
Free Cash Flow to Equity,-141,857,323,638,859,363,5221,1679,-396,-3
Free Cash Flow per Basic Share,2.22,2.66,3.28,4.95,4.71,4.01,4.06,6.20,4.97,1.43
Price/Free Cash Flow,14.12,12.59,12.31,10.62,13.44,13.09,17.18,11.74,14.71,15.49
Cash Flow to Net Income,1.40,1.09,1.22,1.41,1.83,2.93,1.25,4.39,1.91,1.83
