,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,22284,10737,6636,4762,5466,6326,6495,4667,7473,11324
+ Sales & Services Revenue,22284,10737,6636,4762,5466,6326,6495,4667,7473,11324
- Cost of Revenue,16626,7252,7424,6288,5714,3188,3543,3416,2929,3410
+ Cost of Goods & Services,16626,7252,7424,6288,5714,3188,3543,3416,2929,3410
Gross Profit,5658,3485,-788,-1526,-248,3138,2952,1251,4544,7914
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,2607,1428,1438,1857,941,2606,2366,1644,2536,3932
"+ Selling, General & Admin",1576,588,557,415,434,2244,2133,1293,2374,3758
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,1031,840,881,1442,507,362,233,351,162,174
Operating Income (Loss),3051,2057,-2226,-3383,-1189,532,586,-393,2008,3982
- Non-Operating (Income) Loss,-1442,-379,2032,471,4589,312,365,2457,518,301
"+ Interest Expense, Net",406,323,341,338,325,399,380,468,481,493
+ Interest Expense,406,323,341,338,325,399,380,468,481,493
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,-1848,-702,1691,133,4264,-87,-15,1989,37,-192
Pretax Income,4493,2436,-4258,-3854,-5778,220,221,-2850,1490,3681
- Income Tax Expense (Benefit),525,744,-1299,2222,-1837,335,461,-11,600,1107
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,3968,1692,-2959,-6076,-3941,-115,-240,-2839,890,2574
- Net Extraordinary Losses (Gains),-914,-568,146,112,266,334,336,508,662,702
+ Discontinued Operations,1254,682,-48,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,-2168,-1250,194,112,266,334,336,508,662,702
Income (Loss) Incl. MI,4882,2260,-3105,-6188,-4207,-449,-576,-3347,228,1872
- Minority Interest,-170,-57,-49,-56,-133,-167,-168,-254,-331,-351
"Net Income, GAAP",5052,2317,-3056,-6132,-4074,-282,-408,-3093,559,2223
- Preferred Dividends,0,0,0,41,46,46,4,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",5052,2317,-3056,-6173,-4120,-328,-412,-3093,559,2223
Basic Weighted Avg Shares,325,286,284,310,314,291,301,305,307,306
"Basic EPS, GAAP",15.53,8.11,-10.78,-19.92,-13.12,-1.13,-1.37,-10.15,1.82,7.26
Basic EPS from Cont Ops,12.20,5.92,-10.43,-19.61,-12.55,-0.39,-0.80,-9.31,2.90,8.41
Diluted Weighted Avg Shares,341,308,284,310,314,298,301,305,309,310
"Diluted EPS, GAAP",14.82,7.53,-10.78,-19.92,-13.12,-1.10,-1.37,-10.15,1.81,7.18
Diluted EPS from Cont Ops,11.64,5.50,-10.43,-19.61,-12.55,-0.39,-0.80,-9.31,2.88,8.31
EBITDA,5821,5281,1729,-139,1694,2415,2708,1681,3536,5685
EBITDA Margin (%),26.12,49.19,26.05,-2.92,30.99,38.18,41.69,36.02,47.32,50.20
EBITA,3051,2057,-2226,-3383,-1189,532,586,-393,2008,3982
EBIT,3051,2057,-2226,-3383,-1189,532,586,-393,2008,3982
Gross Margin (%),25.39,32.46,-11.87,-32.05,-4.54,49.60,45.45,26.81,60.81,69.89
Operating Margin (%),13.69,19.16,-33.54,-71.04,-21.75,8.41,9.02,-8.42,26.87,35.16
Profit Margin (%),22.67,21.58,-46.05,-128.77,-74.53,-4.46,-6.28,-66.27,7.48,19.63
Sales per Employee,1822822,3526108,2395668,2066840,2634217,3703747,3659155,2879087,4836893,6977203
Dividend per Share,0.72,1.06,1.01,1.13,1.16,1.18,1.05,1.01,1.01,1.52
Depreciation Expense,2770,3224,3955,3244,2883,1883,2122,2074,1528,1703
